case,epoch,total,pde,bc,diss,ctrl,energy,var
mx4_mt3,2501,1.3766074409620397,0.00677949407389,0.000172532414939,0.0045123882059141,8.912353981576135e-05,0.2594405264586124,0.2594404254666367
mx4_mt3,2502,1.3766063519366958,0.0067786588085766,0.0001725152521052,0.0045125012153235,8.912393517274504e-05,0.2594405473979396,0.2594404464923422
mx4_mt3,2503,1.3766052665932282,0.0067778264213517,0.0001724981431946,0.0045126138860002,8.912432794410122e-05,0.259440568200278,0.2594404673807994
mx4_mt3,2504,1.376604184924772,0.0067769969202766,0.0001724810869928,0.0045127262204265,8.91247173516119e-05,0.2594405888244119,0.2594404880908051
mx4_mt3,2505,1.3766031069244675,0.0067761702742932,0.0001724640855275,0.004512838214845,8.912510487467383e-05,0.2594406093486953,0.2594405087006899
mx4_mt3,2506,1.3766020325854649,0.0067753464447033,0.0001724471414577,0.0045129498642995,8.912549242598661e-05,0.2594406298744303,0.259440529311725
mx4_mt3,2507,1.376600961900918,0.0067745254211977,0.0001724302550888,0.0045130611683813,8.912588027373043e-05,0.2594406504158204,0.2594405499381104
mx4_mt3,2508,1.3765998948639908,0.0067737072237081,0.0001724134242211,0.004513172131507,8.912626694251613e-05,0.2594406708947254,0.2594405705017298
mx4_mt3,2509,1.376598831467852,0.0067728918721022,0.0001723966466629,0.0045132827580679,8.912665096773432e-05,0.2594406912335768,0.2594405909250392
mx4_mt3,2510,1.376597771705678,0.0067720793594031,0.0001723799224487,0.0045133930481561,8.91270324391287e-05,0.2594407114371285,0.2594406112127908
mx4_mt3,2511,1.3765967155706522,0.0067712696562583,0.0001723632534672,0.0045135029982912,8.91274127365619e-05,0.2594407315784616,0.2594406314380439
mx4_mt3,2512,1.3765956630559644,0.006770462738338,0.0001723466411898,0.0045136126058071,8.91277929451648e-05,0.2594407517150471,0.2594406516582525
mx4_mt3,2513,1.3765946141548098,0.0067696586053777,0.0001723300850935,0.0045137218718933,8.912817275856974e-05,0.2594407718306593,0.2594406718571964
mx4_mt3,2514,1.376593568860392,0.0067688572730146,0.0001723135833393,0.0045138308002808,8.91285509550598e-05,0.2594407918605941,0.2594406919701915
mx4_mt3,2515,1.3765925271659205,0.0067680587490617,0.0001722971347377,0.004513939393441,8.912892676904076e-05,0.259440811764305,0.259440711956704
mx4_mt3,2516,1.37659148906461,0.0067672630205863,0.0001722807398197,0.0045140476505196,8.912930063451778e-05,0.2594408315647785,0.2594407318397135
