case,epoch,total,pde,bc,diss,ctrl,energy,var
mx4_mt3,1,3.6413860924157455,0.0740417902735288,0.0131358610246253,0.0015355529227262,0.0048033565525932,0.1806937480987948,0.0898449748756569
mx4_mt3,2,6.95334883440418,0.634351646195164,0.2845522144283573,0.0020869079849706,5.095342050811278e-05,0.2428618335331744,0.1299642477627103
mx4_mt3,3,3.5422889011647207,0.1569917801798682,0.0809449277591703,0.0014973429956159,0.0019351651387734,0.2939905119176101,0.1679523705157048
mx4_mt3,4,3.692332110448886,0.1657190685238446,0.0777060033337089,0.002036413335968,0.0033135612904785,0.3075635413302426,0.183001019307788
mx4_mt3,5,4.379695014564415,0.2682598425274152,0.1312198676708313,0.0026535878192465,0.0020328718211641,0.2950873798436337,0.176138108307854
mx4_mt3,6,3.5968389785690587,0.2272143289150834,0.0947124105980259,0.0025390838209211,0.0006662053870942,0.2758109547885057,0.1627350425184242
mx4_mt3,7,2.5438253508619937,0.152341975358215,0.0317172410465462,0.0020281298043657,3.512955161094828e-05,0.2559270187793652,0.1482782234967353
mx4_mt3,8,2.64482281976587,0.1271266291391277,0.0349725657706606,0.0015981818923768,8.713823572998252e-05,0.2406652136751834,0.1386680599273964
mx4_mt3,9,3.103965495593224,0.1295580440899136,0.0625267776803369,0.0015443715901225,0.0002676535948952,0.2336398779070799,0.1376597127060813
mx4_mt3,10,3.000729734722312,0.1215871684999245,0.0577090018359351,0.001565939816325,0.0003035825840479,0.2325763785610477,0.1418786441879274
mx4_mt3,11,2.5418529634210136,0.114232025022158,0.0334392672216283,0.0016594382305978,0.0001636315122869,0.2372081466437842,0.1505757400465338
mx4_mt3,12,2.292919237836072,0.1244828862159925,0.0240103404200328,0.0018611538879361,1.918495481373948e-06,0.2486149023567365,0.1640038360547746
mx4_mt3,13,2.442684349161612,0.1334801901762305,0.0359892796697544,0.001865430801557,0.0002471530798397,0.2657211030096423,0.1790846080042309
mx4_mt3,14,2.586143422531409,0.1446368266743047,0.0429826568314901,0.0018590668852956,0.0006153975698683,0.2748072080224356,0.1875616682255646
mx4_mt3,15,2.436460528738807,0.1521343601914695,0.0333526395662698,0.0018757701363998,0.0005734360963245,0.2739465257673129,0.1883772550878917
mx4_mt3,16,2.21340601503431,0.1625644688506765,0.0207131503173441,0.0019245804183813,0.000181524775163,0.2634731130464727,0.1819909981881794
mx4_mt3,17,2.318442389956088,0.1698628462436701,0.0239681431738568,0.0019646336423944,4.640777910087539e-05,0.2431876744718946,0.1686825235213511
mx4_mt3,18,2.4847658773097048,0.1755040387076142,0.0281326584870382,0.0019739136597016,0.0003346286814704,0.2317071412439049,0.1619756497733311
mx4_mt3,19,2.4251630994710585,0.17030218263861,0.0231660952260576,0.0019515425284151,0.0004381181955773,0.2290687268524506,0.162072749918325
mx4_mt3,20,2.2539331736345067,0.1627063849190325,0.0183304003169367,0.0019277914080576,0.0002098318412734,0.2355144264430636,0.1696077291277566
mx4_mt3,21,2.191256632865453,0.1624683192766556,0.0232111509902734,0.0019659420632592,5.7910194433133535e-06,0.252406453706871,0.1864824454399919
mx4_mt3,22,2.238850929539232,0.1735748616132184,0.0267787101015862,0.0020638473179327,0.0003864291448522,0.2696578011194597,0.2046906941898506
mx4_mt3,23,2.259125339070829,0.1894960965773189,0.0252573056293402,0.0021445484102142,0.000740501595135,0.2772121589576256,0.2138225361617315
