case,n_rows,epoch_first,epoch_final,total_final,pde_final,bc_final,diss_final,ctrl_final,energy_final,var_final,total_min,epoch_total_min,energy_target,energy_error_abs,energy_error_rel_percent,n_last100,total_mean_last100,total_std_last100,total_cv_percent_last100,pde_mean_last100,pde_std_last100,pde_cv_percent_last100,bc_mean_last100,bc_std_last100,bc_cv_percent_last100,diss_mean_last100,diss_std_last100,diss_cv_percent_last100,ctrl_mean_last100,ctrl_std_last100,ctrl_cv_percent_last100,energy_mean_last100,energy_std_last100,energy_cv_percent_last100,var_mean_last100,var_std_last100,var_cv_percent_last100,total_slope_last100,pde_slope_last100,bc_slope_last100,diss_slope_last100,ctrl_slope_last100,energy_slope_last100,var_slope_last100,n_last200,total_mean_last200,total_std_last200,total_cv_percent_last200,pde_mean_last200,pde_std_last200,pde_cv_percent_last200,bc_mean_last200,bc_std_last200,bc_cv_percent_last200,diss_mean_last200,diss_std_last200,diss_cv_percent_last200,ctrl_mean_last200,ctrl_std_last200,ctrl_cv_percent_last200,energy_mean_last200,energy_std_last200,energy_cv_percent_last200,var_mean_last200,var_std_last200,var_cv_percent_last200,total_slope_last200,pde_slope_last200,bc_slope_last200,diss_slope_last200,ctrl_slope_last200,energy_slope_last200,var_slope_last200,n_last500,total_mean_last500,total_std_last500,total_cv_percent_last500,pde_mean_last500,pde_std_last500,pde_cv_percent_last500,bc_mean_last500,bc_std_last500,bc_cv_percent_last500,diss_mean_last500,diss_std_last500,diss_cv_percent_last500,ctrl_mean_last500,ctrl_std_last500,ctrl_cv_percent_last500,energy_mean_last500,energy_std_last500,energy_cv_percent_last500,var_mean_last500,var_std_last500,var_cv_percent_last500,total_slope_last500,pde_slope_last500,bc_slope_last500,diss_slope_last500,ctrl_slope_last500,energy_slope_last500,var_slope_last500,total_delta,total_change_percent,pde_delta,pde_change_percent,bc_delta,bc_change_percent,diss_delta,diss_change_percent,ctrl_delta,ctrl_change_percent,energy_delta,energy_change_percent,var_delta,var_change_percent,pde_fraction_of_total_percent,bc_fraction_of_total_percent,diss_fraction_of_total_percent,ctrl_fraction_of_total_percent,var_fraction_of_total_percent
mx6_mt1,3000,1,3000,1.376915114671882,0.0078035471657364,0.0001232632149948,0.0048465001919208,8.908435360310589e-05,0.259438450805249,0.2594368476023814,1.376915114671882,3000,0.25,0.009438450805249021,3.7753803220996085,100,1.3769239278998935,5.409115679020353e-06,0.00039284056071786205,0.0078110239958393305,4.5883132329774755e-06,0.05874150732889203,0.000123359785398395,5.930503365577536e-08,0.048074851511979814,0.00484419267665799,1.4151305915850627e-06,0.029212929502246014,8.908133248872382e-05,1.8541506018927014e-09,0.002081413187355954,0.2594382907604699,9.822497523568871e-08,3.786063150037336e-05,0.2594366900039257,9.672527577204072e-08,3.7282805207920705e-05,-1.8626022532659883e-07,-1.579969888910531e-07,-2.0420983862687763e-09,4.87306518223486e-08,6.384683996010357e-11,3.3823320255484585e-09,3.330688663271548e-09,200,1.3769360282625807,1.4261929217396302e-05,0.0010357728263811952,0.007821284017806983,1.2092409782430689e-05,0.15460900991319954,0.000123492693952841,1.5667446721167477e-07,0.12686942214695318,0.004841037023018193,3.7180108835038038e-06,0.07680195102465408,8.907718583991797e-05,4.887161700597481e-09,0.005486434775095249,0.2594380710832892,2.5890812032581635e-07,9.979573130679702e-05,0.2594364736710265,2.5496734841889737e-07,9.827737203297168e-05,-2.441118423545243e-07,-2.069828074516906e-07,-2.6813966108142392e-09,6.365247019696563e-08,8.365215431491047e-11,4.4316489264413305e-09,4.3641849609071056e-09,500,1.3770204730760112,9.374093523587658e-05,0.00680751935564738,0.007892794568769802,7.935888298932168e-05,1.0054598824012067,0.00012442468058837059,1.0356465777709812e-06,0.8323481907879443,0.004819478239270007,2.3777366577651253e-05,0.49335976628982037,8.904834615292259e-05,3.197952422630499e-08,0.03591254145403958,0.2594365429733084,1.6945706159835423e-06,0.0006531734491073158,0.25943496880298744,1.6687707042178277e-06,0.0006432327576800478,-6.202877390483149e-07,-5.251873839809895e-07,-6.8499320721631315e-09,1.5774960508658084e-07,2.1170349917037908e-10,1.1217759057407536e-08,1.1047031956792505e-08,-2.257284850856329,-62.11229080038376,-0.051131484665326604,-86.75906854838863,-0.0282577008495268,-99.56568348166547,0.0035825507009647995,283.4409702760436,-0.002859717453848194,-96.97896435840485,0.06374132188451492,32.57141391702938,0.1821209934157227,235.55452543541674,0.5667413395774932,0.008952128833604498,0.35198249625400596,0.006469850802991195,18.84189118398958
mx6_mt3,3000,1,3000,1.3767482860741358,0.0068737120718684,0.0001738128088036,0.0050593401448072,8.90515267612548e-05,0.2594367116497885,0.2594366696323566,1.3767482860741358,3000,0.25,0.009436711649788487,3.774684659915395,100,1.3767561294153843,4.816114226097843e-06,0.00034981607295570373,0.006879917970147412,3.810497513747191e-06,0.055385798642967624,0.000173923871845772,6.820692978002321e-08,0.03921654287946516,0.005058532728177329,4.955653422434837e-07,0.009796622239548972,8.904875745306463e-05,1.7006352787309512e-09,0.0019097799086386057,0.2594365649176501,9.010886229842439e-08,3.4732522120398334e-05,0.2594365228556995,9.013641474565884e-08,3.474314786272146e-05,-1.6583772273531748e-07,-1.312105729830739e-07,-2.348621422282649e-09,1.7064529250983548e-08,5.855935052108283e-11,3.102790759237057e-09,3.1037392470467585e-09,200,1.3767669253403882,1.2727657747062015e-05,0.0009244598713696773,0.006888459096021633,1.0069432717048928e-05,0.1461783045625463,0.000174076796263288,1.8028428353226129e-07,0.10356594756005537,0.005057423945772508,1.3068828268708427e-06,0.025840879484965145,8.904494442628339e-05,4.4953221356603915e-09,0.005048374351428657,0.2594363628782403,2.381925840313767e-07,9.181156465069864e-05,0.2594363207529083,2.382675016491813e-07,9.184045663217351e-05,-2.178193223296577e-07,-1.7232718156515047e-07,-3.085348965421311e-09,2.2368749835842632e-08,7.693152345731593e-11,4.076346171685058e-09,4.077626156211826e-09,500,1.3768434793521678,8.541684701105809e-05,0.006203816794865341,0.0069490837750690775,6.767053601590143e-05,0.9738051548418518,0.000175156780323408,1.2030546942811666e-06,0.6868444898677953,0.005049671763327839,8.611177841415117e-06,0.17052945706198083,8.901792959549888e-05,3.0130536991583756e-08,0.033847717115527344,0.25943493121599864,1.5968635780308146e-06,0.0006155160257510999,0.259434888579803,1.5974535228475385e-06,0.0006157435230058337,-5.640235296118859e-07,-4.467682978741844e-07,-7.949251326976429e-09,5.696545498795941e-08,1.98989035274373e-10,1.0545829685542876e-08,1.05496706083433e-08,-2.284315259168263,-62.39485414386651,-0.06215295344393191,-90.04194680344946,-0.0226433448434497,-99.23823636820761,0.0034662346401169997,217.57721820131766,-0.004499696689471645,-98.05935033771888,0.07717701144417169,42.344528909629624,0.16234048540210821,167.19553573510484,0.4992715183593307,0.012624879258011324,0.3674847607207961,0.006468250417452091,18.84416143870081
mx4_mt3,3000,1,3000,1.3763825166159294,0.0066076708742319,0.0001689383603086,0.0045366037351292,8.920473308961768e-05,0.2594448257310348,0.2594447426949075,1.3763825166159294,3000,0.25,0.009444825731034778,3.7779302924139113,100,1.3763884451453599,3.6391303668996234e-06,0.00026439704428899764,0.006612183782144943,2.770257762952466e-06,0.04189626081527055,0.00016903424107181999,5.88482311593481e-08,0.03481438481706462,0.004535942554121796,4.0557420981592563e-07,0.008941343612197682,8.920259310523504e-05,1.3136410851708612e-09,0.001472648988601843,0.2594447124413847,6.954376177143176e-08,2.6804848369050306e-05,0.2594446289328597,6.983378608637163e-08,2.6916643591200933e-05,-1.2531102760456516e-07,-9.539186909275626e-08,-2.026408170756775e-09,1.3966017305640625e-08,4.5234306893061056e-11,2.3946901708823278e-09,2.4046768986820323e-09,200,1.3763965916040484,9.602600418247707e-06,0.0006976623218063092,0.006618386383174622,7.311495594499655e-06,0.11047248031766575,0.00016916588907208297,1.5516427081734876e-07,0.09172314328170024,0.004535037254685892,1.066757284729963e-06,0.02352256938193222,8.919965229231395e-05,3.466462844160703e-09,0.003886184256414862,0.2594445567529029,1.8351710081925718e-07,7.073461209442153e-05,0.2594444725946294,1.8428305333099336e-07,7.102986295604283e-05,-1.6435295692527797e-07,-1.251378000522831e-07,-2.6558439138068763e-09,1.826166467084211e-08,5.933003859899786e-11,3.140972192068241e-09,3.154081142827999e-09,500,1.3764538285569292,6.368292048144378e-05,0.004626593290688784,0.0066620558897138105,4.862053371282591e-05,0.7298127562678638,0.00017008437671424498,1.0195747589379732e-06,0.5994523298579848,0.004528804485672391,6.89117232733213e-06,0.15216316688286002,8.91789920009138e-05,2.2986895763816092e-08,0.025776133199151372,0.25944346284592895,1.2171423845172464e-06,0.00046913588462240384,0.2594433741140378,1.2222309431267841e-06,0.00047109738196264556,-4.2100109586448344e-07,-3.2133603147060245e-07,-6.7466299181810074e-09,4.567374316189423e-08,1.519642254666068e-10,8.04628478570413e-09,8.079924931832725e-09,-2.265003575799816,-62.20168689382733,-0.0674341193992969,-91.0757548543579,-0.012966922664316701,-98.71391483213854,0.003001050812403,195.43779755079848,-0.004714151819503583,-98.14286672011765,0.07875107763223999,43.58262444652076,0.16959976781925062,188.76934191808974,0.4800751821868519,0.012274085021361918,0.32960341186861425,0.0064811004217739335,18.849755759234473
mx6_mt5,3000,1,3000,1.3760187985637031,0.0067202601142946,0.0001358251622786,0.0048279364183653,8.933789551375382e-05,0.2594518725929708,0.2594501415997396,1.3760187985637031,3000,0.25,0.009451872592970811,3.7807490371883246,100,1.3760266790809512,4.8372028320897314e-06,0.0003515340876472323,0.006726491350275662,3.82490659754683e-06,0.056863324404484356,0.00013593696280508403,6.862000183581505e-08,0.050479281293202956,0.00482695402515046,6.027733899477033e-07,0.012487655502973522,8.933522811952555e-05,1.6371852635466543e-09,0.0018326312004892313,0.2594517314875159,8.660773750370662e-08,3.338105974747521e-05,0.25944999763265897,8.836479031867746e-08,3.405850496240448e-05,-1.665660207413172e-07,-1.3170816234511728e-07,-2.3628927654160827e-09,2.07564032040369e-08,5.6375581229345976e-11,2.982289633169489e-09,3.0427919965708676e-09,200,1.3760375056453193,1.2761423595696627e-05,0.0009274037621316079,0.0067350527831146305,1.009155505733476e-05,0.14983631728373645,0.000136090499592954,1.809697844179676e-07,0.13297752962862752,0.004825606897675376,1.5876256063122517e-06,0.03290001941677125,8.933156497546247e-05,4.317633469711841e-09,0.004833267469228604,0.25945153770153573,2.2841007127846582e-07,8.803573619256057e-05,0.2594497999074671,2.3305447463861937e-07,8.982642296187485e-05,-2.1842062731378536e-07,-1.7272319632972965e-07,-3.0974880480415167e-09,2.717598712733662e-08,7.390094807661472e-11,3.909478511433343e-09,3.988960271914547e-09,500,1.376113408339012,8.438741128787116e-05,0.006132300635725069,0.006795091384688309,6.675372913320957e-05,0.9823816245301544,0.00013716538127004,1.1946331470038453e-06,0.8709436272786274,0.004816239476668443,1.0390217750650143e-05,0.2157329966872289,8.930592820816029e-05,2.8489349587823908e-08,0.03190084931586961,0.25945018126494573,1.5074394351547863e-06,0.0005810130591565928,0.25944841528465684,1.5389905990755715e-06,0.000593177875990127,-5.580469789646013e-07,-4.414265390359588e-07,-7.901112720788652e-09,6.87756078577278e-08,1.8843372831388257e-10,9.970279801628326e-09,1.0178349138883693e-08,-1.8929213797697033,-57.90627165085552,-0.0826454185357319,-92.48004355160504,-0.0830215365146752,-99.83666489708243,0.0039590890372053,455.67140133627515,-1.434691376594617e-05,-13.837045046052944,0.01963444639725781,8.18724756942154,0.11159190134686042,75.47222336476268,0.48838432449536656,0.009870879847017724,0.35086267886781275,0.006492490917057621,18.85513060363385
