case,epoch_final,total_final,pde_final,bc_final,diss_final,ctrl_final,energy_final,var_final,energy_error_abs,energy_error_rel_percent,total_min,epoch_total_min,total_mean_last100,total_std_last100,total_cv_percent_last100,energy_mean_last100,energy_std_last100,energy_cv_percent_last100,var_mean_last100,var_std_last100,var_cv_percent_last100
mx6_mt1,3000,1.376915114671882,0.0078035471657364,0.0001232632149948,0.0048465001919208,8.908435360310589e-05,0.259438450805249,0.2594368476023814,0.009438450805249021,3.7753803220996085,1.376915114671882,3000,1.3769239278998935,5.409115679020353e-06,0.00039284056071786205,0.2594382907604699,9.822497523568871e-08,3.786063150037336e-05,0.2594366900039257,9.672527577204072e-08,3.7282805207920705e-05
mx6_mt3,3000,1.3767482860741358,0.0068737120718684,0.0001738128088036,0.0050593401448072,8.90515267612548e-05,0.2594367116497885,0.2594366696323566,0.009436711649788487,3.774684659915395,1.3767482860741358,3000,1.3767561294153843,4.816114226097843e-06,0.00034981607295570373,0.2594365649176501,9.010886229842439e-08,3.4732522120398334e-05,0.2594365228556995,9.013641474565884e-08,3.474314786272146e-05
mx4_mt3,3000,1.3763825166159294,0.0066076708742319,0.0001689383603086,0.0045366037351292,8.920473308961768e-05,0.2594448257310348,0.2594447426949075,0.009444825731034778,3.7779302924139113,1.3763825166159294,3000,1.3763884451453599,3.6391303668996234e-06,0.00026439704428899764,0.2594447124413847,6.954376177143176e-08,2.6804848369050306e-05,0.2594446289328597,6.983378608637163e-08,2.6916643591200933e-05
mx6_mt5,3000,1.3760187985637031,0.0067202601142946,0.0001358251622786,0.0048279364183653,8.933789551375382e-05,0.2594518725929708,0.2594501415997396,0.009451872592970811,3.7807490371883246,1.3760187985637031,3000,1.3760266790809512,4.8372028320897314e-06,0.0003515340876472323,0.2594517314875159,8.660773750370662e-08,3.338105974747521e-05,0.25944999763265897,8.836479031867746e-08,3.405850496240448e-05
