case,epoch_final,total_final,total_min,epoch_total_min,pde_final,bc_final,diss_final,ctrl_final,energy_final,energy_error_rel_percent,var_final,total_mean_last500,total_std_last500,total_slope_last500,energy_mean_last500,energy_std_last500,energy_slope_last500,var_mean_last500,var_std_last500,var_slope_last500
mx6_mt1,3000,1.376915114672,1.376915114672,3000,0.007803547166,0.000123263215,0.004846500192,8.9084354e-05,0.259438450805,3.7753803221,0.259436847602,1.377020473076,9.3740935e-05,-6.20288e-07,0.259436542973,1.694571e-06,1.1218e-08,0.259434968803,1.668771e-06,1.1047e-08
mx6_mt3,3000,1.376748286074,1.376748286074,3000,0.006873712072,0.000173812809,0.005059340145,8.9051527e-05,0.25943671165,3.774684659915,0.259436669632,1.376843479352,8.5416847e-05,-5.64024e-07,0.259434931216,1.596864e-06,1.0546e-08,0.25943488858,1.597454e-06,1.055e-08
mx4_mt3,3000,1.376382516616,1.376382516616,3000,0.006607670874,0.00016893836,0.004536603735,8.9204733e-05,0.259444825731,3.777930292414,0.259444742695,1.376453828557,6.368292e-05,-4.21001e-07,0.259443462846,1.217142e-06,8.046e-09,0.259443374114,1.222231e-06,8.08e-09
mx6_mt5,3000,1.376018798564,1.376018798564,3000,0.006720260114,0.000135825162,0.004827936418,8.9337896e-05,0.259451872593,3.780749037188,0.2594501416,1.376113408339,8.4387411e-05,-5.58047e-07,0.259450181265,1.507439e-06,9.97e-09,0.259448415285,1.538991e-06,1.0178e-08
