total,pde,bc,diss,ctrl,energy,var,epoch
1.357463067721808,0.08936567954866398,0.08315736175447959,0.0008688473755697545,0.00010368480927975124,0.23981742619571303,0.14785824025287922,1
6.043641911228835,0.6799089672875047,0.3497654976816861,0.002135411642525403,0.0005862523935801927,0.22578735054604324,0.12187124115434544,2
3.1506680665818494,0.3520103005402408,0.18274647207779687,0.0016288166980203671,0.00028730342437327755,0.23304997273237363,0.11369958454886989,3
0.7018669652880221,0.10611361300634195,0.03969302365936501,0.0010805161701280038,1.7899869560248241e-06,0.2486620960587453,0.11026687671789262,4
1.685182775371532,0.24343084298994025,0.09608983430617296,0.0010778713770057573,2.0220889449865857e-06,0.25142200173874246,0.10068540067503946,5
2.5767695517305964,0.307110468055197,0.151280904430946,0.0011274597422105653,2.22758605604617e-06,0.2514925099852417,0.09429764420513417,6
2.1601029513654937,0.2308269317689511,0.1286163943132833,0.0010505895199742498,1.5052448646325332e-07,0.25038797485287484,0.09066860814944351,7
1.2514014093103778,0.14432039821825743,0.07377736533358278,0.000997862991774351,2.1026554418927853e-06,0.24854994640033798,0.08883393916000516,8
0.6985594931363186,0.13691916265932821,0.03726558998219843,0.001098708031051028,1.3282403720069705e-05,0.24635549678007143,0.0873083533685073,9
0.6336454611111442,0.16430045405379168,0.031024887772824274,0.0012888869888428606,1.9858452324941722e-05,0.2455437176565054,0.08411754118735909,10
0.7874523753811056,0.15284326191375625,0.042177565933975786,0.0013977287120163348,9.728122288562303e-06,0.24688100620575124,0.0800634652390226,11
0.9383805341728955,0.1369175249828579,0.053410376309483025,0.0014101507932712638,1.536822738960808e-06,0.248760313451327,0.07634194974906816,12
0.8768465272258712,0.13561797099552336,0.04940569469032379,0.00134589510729036,7.15679377454415e-07,0.24915402164480738,0.07341534838281656,13
0.5842111413268906,0.1311674382640965,0.03010383891589091,0.0012302942856509298,7.430596622152411e-06,0.2472740879283894,0.0714276334706141,14
0.3160833592196436,0.1153000745138135,0.01297946268567449,0.0011177874111622172,3.0456722103563713e-05,0.24448123907896313,0.07065339115876021,15
0.4737964840936049,0.1205783578028432,0.023419021814327607,0.001127961291267668,9.663995379238007e-06,0.24689130326676306,0.07176794257965848,16
0.7169488654542544,0.13724984564073395,0.03861155783284155,0.001163578876818078,2.6282616044856573e-06,0.2483788085848717,0.07124463734836702,17
0.6706156210516647,0.13582916678747858,0.035632018285806824,0.0011572360180891609,1.5308998854188787e-06,0.24876270460866498,0.06918196701806084,18
0.44194034815510624,0.12270649755857312,0.021252331195809986,0.0011271410530631469,2.2444132969167417e-06,0.24850186339177072,0.06598780434069461,19
0.3008938928974944,0.11372569837862981,0.012412532827826103,0.0011181627919413953,4.901010507365292e-06,0.2477861773993011,0.062312636348100685,20
0.3202641364284691,0.10765665439928787,0.013862722259510102,0.001153756827460608,2.3333240682648536e-05,0.24516955067487003,0.059834364949950425,21
0.39085964485695784,0.1091081775888797,0.01836740844781895,0.00121329921853165,3.1201702753969426e-05,0.24441415156364144,0.05959474416916842,22
0.4218110752108475,0.11824771740405884,0.02003006425025721,0.001269033728797384,1.5561970264652692e-05,0.24605513368228368,0.060504091058962914,23
0.35094177571501856,0.12174908457798096,0.015236007657401024,0.0012848427025731121,3.262881380111112e-06,0.24819365524328518,0.061370993300663555,24
0.23984573579199986,0.11624710998601585,0.008219258029117027,0.0012425328522764182,1.5487768461430264e-06,0.2487555013675608,0.06117424891569468,25
0.29373095718504066,0.11288702721092254,0.011868879459273918,0.0011387368927159303,1.4053690425046925e-05,0.24625117479401254,0.05829403574546288,26
0.4049999210291442,0.11437710306881912,0.019216671655433636,0.0011060601549975919,1.1863715644102895e-05,0.24655562550756993,0.056783702529041614,27
0.3886672371277964,0.11293567608350306,0.018267878260172815,0.0011173048241332776,8.566935708505574e-06,0.24707306718414898,0.05626119856835331,28
0.29828619761825853,0.11607095299318591,0.012009656396567195,0.0011785624385962196,1.0351993382823665e-05,0.24678254861997517,0.05628900636326831,29
0.24523512555472665,0.12170229531811864,0.008185061159257245,0.001273723412520977,3.784564238746532e-06,0.24805460434904708,0.056654411406006265,30
0.2415415633150148,0.11176200321308857,0.008651070847914706,0.0013000146329251211,6.748691602820374e-08,0.24974021756020046,0.05645966004057209,31
0.28450556245691216,0.10430186646581853,0.01163011489417035,0.001264307398625324,2.8759862892691904e-05,0.24463717771199792,0.05522251631774567,32
0.2856946852740196,0.10049026874830488,0.01202687182530271,0.0012220878878304996,2.4006695730870125e-05,0.24510033718192056,0.05528136483822557,33
0.218135575180391,0.09578763530666583,0.008074729259454468,0.0012108003060062233,6.1350049095406675e-06,0.24752310579363174,0.05634207454070536,34
0.22857218257988585,0.10663186809615142,0.00771728739598292,0.001284993615342785,3.090501771995309e-05,0.24444077184134766,0.05689004977514058,35
0.27533401752939635,0.11181415793141833,0.010589753010875842,0.0012961837311322186,2.336782217420167e-05,0.2548340275313864,0.057540289018630224,36
0.25678024075380335,0.10871004124939358,0.009730468442426237,0.0012640414551344968,1.0565864340081021e-05,0.25325051754957284,0.05546484761841936,37
0.22582894285078134,0.10022168491549963,0.007582643502788236,0.0012283551288414908,5.933802696729088e-05,0.2422968819970553,0.052189684415419296,38
0.20152067108607852,0.08775994767184203,0.007454441205939195,0.0012230070301449969,9.720526625742744e-06,0.2468822240898771,0.05239529593471662,39
0.20786342318857873,0.09471628741544637,0.007410048663053393,0.0013079709870510614,9.982029136657278e-06,0.2468405650605437,0.054500582496908374,40
0.22297255080664394,0.1003801295184868,0.00813462480879615,0.001369335042285396,2.865245781074412e-06,0.24830729631031465,0.05648945466839301,41
0.19316513005826572,0.09586831336339229,0.006482081067761255,0.0013465719402614323,3.280033922730427e-07,0.2505727158041062,0.057001777509465085,42
0.19901779905365335,0.08513284220728388,0.00708225323703051,0.0012271997762315402,3.825579145455918e-05,0.24381487336794475,0.053430998355463256,43
0.2225818711355669,0.080426655657852,0.009286841770350551,0.0012081070236405085,1.4262944612283167e-05,0.24622336861577898,0.051811318060200506,44
