Re,E_total,E_modes_sum,modal_coverage,domain_area,A10,A20,A30,A40,A50,A60,A70,A80,mode2_fraction,fourier_mode2_fraction,temporal_fraction,dominant_i,dominant_j,reconstruction_rmse,Efrac_0_0,Efrac_0_1,Efrac_0_2,Efrac_0_3,Efrac_0_4,Efrac_1_0,Efrac_1_1,Efrac_1_2,Efrac_1_3,Efrac_1_4,Efrac_2_0,Efrac_2_1,Efrac_2_2,Efrac_2_3,Efrac_2_4,Efrac_3_0,Efrac_3_1,Efrac_3_2,Efrac_3_3,Efrac_3_4,Efrac_4_0,Efrac_4_1,Efrac_4_2,Efrac_4_3,Efrac_4_4,Efrac_5_0,Efrac_5_1,Efrac_5_2,Efrac_5_3,Efrac_5_4,c_0_0,c_0_1,c_0_2,c_0_3,c_0_4,c_1_0,c_1_1,c_1_2,c_1_3,c_1_4,c_2_0,c_2_1,c_2_2,c_2_3,c_2_4,c_3_0,c_3_1,c_3_2,c_3_3,c_3_4,c_4_0,c_4_1,c_4_2,c_4_3,c_4_4,c_5_0,c_5_1,c_5_2,c_5_3,c_5_4,native_c_0_0,native_c_0_1,native_c_0_2,native_c_0_3,native_c_0_4,native_c_1_0,native_c_1_1,native_c_1_2,native_c_1_3,native_c_1_4,native_c_2_0,native_c_2_1,native_c_2_2,native_c_2_3,native_c_2_4,native_c_3_0,native_c_3_1,native_c_3_2,native_c_3_3,native_c_3_4,native_c_4_0,native_c_4_1,native_c_4_2,native_c_4_3,native_c_4_4,native_c_5_0,native_c_5_1,native_c_5_2,native_c_5_3,native_c_5_4,basis_type,config,energy_final
500,0.2533937944412381,0.25339379444123805,0.9999999999999998,1.0,0.0011208007242559104,0.6835451527575223,-0.010057607297197471,-0.18076728941900413,-0.01931216190368794,-0.006852881106111383,0.0,0.0,0.9219522855494706,0.9219522855494706,0.012538718398043495,1,0,1.6262965166217066e-16,2.4787392016892585e-06,3.860348069705975e-06,6.146759665649841e-06,3.291719681698258e-07,1.5822942170891972e-07,0.9219522855494706,0.006484574219364141,0.00016037097499147906,6.335235828351875e-05,8.112223042096909e-06,0.00019960130587984412,0.00026746474624030043,4.725153517648601e-06,4.6445904091251217e-07,2.1548933744916922e-07,0.06447832117584026,0.004761302055321247,0.00045835341796119646,4.3793884114836286e-05,2.3638781252599837e-05,0.0007359288300975833,4.368398571713754e-06,6.8516887264548134e-06,1.7621891052609862e-09,9.368301084688615e-07,9.266600146632403e-05,0.00016512886373719904,7.024525670170537e-05,1.0144420135214161e-06,3.308884402666503e-06,0.0011208007242559104,0.001978067992003011,-0.002496037463819299,-0.0005776162533663422,-0.00040047148991690274,0.6835451527575223,0.08107159469951258,-0.012749432908381734,0.008013262619498158,-0.002867463672300369,-0.010057607297197471,0.016464981862011584,-0.002188446553292397,-0.0006861225509757268,-0.0004673485246702866,-0.18076728941900413,0.06946896844717695,0.021554016959471692,0.006662461547859989,0.004894862808113288,-0.01931216190368794,0.002104210150834021,0.0026352801784452744,4.226240806698509e-05,0.0009744474042896753,-0.006852881106111383,-0.012937175789814256,0.008437941013575275,0.0010140085030152389,0.0018313391539079753,0.0011208007242559104,0.0019780679920030353,-0.0024960374638193206,-0.00057761625336635,-0.0004004714899168557,0.6835451527575227,0.08107159469951267,-0.012749432908381634,0.008013262619498227,-0.0028674636723003116,-0.010057607297197563,0.01646498186201159,-0.0021884465532924055,-0.0006861225509757559,-0.0004673485246703638,-0.18076728941900405,0.06946896844717697,0.02155401695947167,0.006662461547860008,0.004894862808113282,-0.019312161903688035,0.002104210150834066,0.0026352801784452692,4.226240806685412e-05,0.0009744474042895964,-0.00685288110611134,-0.012937175789814287,0.008437941013575295,0.0010140085030152686,0.001831339153907919,fourier,BASELINE,0.2533937944412381
500,0.25819051123099857,0.2581905112309985,0.9999999999999998,1.0,0.6831952578403133,0.03486778551716563,-0.14822758319384333,-0.00791656620298037,-0.004586523128718845,-0.000531969220905454,0.0,0.0,0.002354390293188086,0.002354390293188086,0.051036135891258654,0,0,1.4959186601885465e-16,0.9038979746197836,0.00025109475050165035,0.0004822809109885771,5.07268659921097e-07,1.9275989826755537e-05,0.002354390293188086,0.04544613769795406,2.2870824514750372e-05,0.0002482696660390662,4.3621833716799244e-07,0.04254884564644264,0.00017599795457587958,0.0019984382335980154,6.8197372822041515e-06,7.385995759456878e-05,0.00012136778409741684,0.0021515129124552476,3.466475884807603e-05,1.385282295051965e-05,4.523653551275722e-06,4.07377372428923e-05,6.28182123487234e-05,2.94998253253064e-05,6.75390071588688e-08,1.9177487374931565e-07,5.480279864692012e-07,8.31621302077673e-06,4.37392133809873e-06,1.745610912638033e-07,1.5048657583808016e-07,0.6831952578403133,0.0161034508102383,-0.022317737785455986,0.0007238009522969463,-0.004461783351017187,0.03486778551716563,0.21664497710040836,0.004860053445688783,0.01601260403529367,0.0006712002249157551,-0.14822758319384333,0.013481988261017944,0.04543028897976527,0.0026538963471495194,0.008733828532972603,-0.00791656620298037,-0.04713810428037662,0.0059833474940651854,0.0037824158626926147,0.0021614480544633044,-0.004586523128718845,-0.008054580401469544,-0.0055196286041602535,0.0002641055151743894,-0.00044503686451617024,-0.000531969220905454,-0.0029306431316966797,-0.0021253752481553787,-0.0004245940055838866,-0.00039422940503740385,0.6831952578403137,0.016103450810238257,-0.022317737785455947,0.0007238009522969177,-0.004461783351017171,0.03486778551716563,0.21664497710040836,0.0048600534456887876,0.01601260403529365,0.0006712002249157382,-0.14822758319384322,0.01348198826101801,0.04543028897976524,0.002653896347149523,0.00873382853297261,-0.007916566202980311,-0.047138104280376625,0.005983347494065231,0.003782415862692569,0.0021614480544633074,-0.004586523128718873,-0.00805458040146953,-0.005519628604160238,0.00026410551517441587,-0.0004450368645161854,-0.0005319692209054864,-0.0029306431316966867,-0.0021253752481553406,-0.0004245940055839035,-0.0003942294050374717,fourier,NO_LVAR,0.25819051123099857
500,0.2533937944412381,0.25339379444123805,0.9999999999999998,1.0,0.0011208007242559104,0.6835451527575223,-0.010057607297197471,-0.18076728941900413,-0.01931216190368794,-0.006852881106111383,0.0,0.0,0.9219522855494706,0.9219522855494706,0.012538718398043495,1,0,1.6262965166217066e-16,2.4787392016892585e-06,3.860348069705975e-06,6.146759665649841e-06,3.291719681698258e-07,1.5822942170891972e-07,0.9219522855494706,0.006484574219364141,0.00016037097499147906,6.335235828351875e-05,8.112223042096909e-06,0.00019960130587984412,0.00026746474624030043,4.725153517648601e-06,4.6445904091251217e-07,2.1548933744916922e-07,0.06447832117584026,0.004761302055321247,0.00045835341796119646,4.3793884114836286e-05,2.3638781252599837e-05,0.0007359288300975833,4.368398571713754e-06,6.8516887264548134e-06,1.7621891052609862e-09,9.368301084688615e-07,9.266600146632403e-05,0.00016512886373719904,7.024525670170537e-05,1.0144420135214161e-06,3.308884402666503e-06,0.0011208007242559104,0.001978067992003011,-0.002496037463819299,-0.0005776162533663422,-0.00040047148991690274,0.6835451527575223,0.08107159469951258,-0.012749432908381734,0.008013262619498158,-0.002867463672300369,-0.010057607297197471,0.016464981862011584,-0.002188446553292397,-0.0006861225509757268,-0.0004673485246702866,-0.18076728941900413,0.06946896844717695,0.021554016959471692,0.006662461547859989,0.004894862808113288,-0.01931216190368794,0.002104210150834021,0.0026352801784452744,4.226240806698509e-05,0.0009744474042896753,-0.006852881106111383,-0.012937175789814256,0.008437941013575275,0.0010140085030152389,0.0018313391539079753,0.0011208007242559104,0.0019780679920030353,-0.0024960374638193206,-0.00057761625336635,-0.0004004714899168557,0.6835451527575227,0.08107159469951267,-0.012749432908381634,0.008013262619498227,-0.0028674636723003116,-0.010057607297197563,0.01646498186201159,-0.0021884465532924055,-0.0006861225509757559,-0.0004673485246703638,-0.18076728941900405,0.06946896844717697,0.02155401695947167,0.006662461547860008,0.004894862808113282,-0.019312161903688035,0.002104210150834066,0.0026352801784452692,4.226240806685412e-05,0.0009744474042895964,-0.00685288110611134,-0.012937175789814287,0.008437941013575295,0.0010140085030152686,0.001831339153907919,fourier,NO_LRE,0.2533937944412381
500,0.25330043749372616,0.25330043749372627,1.0000000000000004,1.0,0.0024642380244446205,0.683862851302333,-0.012885017668513257,-0.17893479079633992,-0.019665438419021256,-0.00774520628536643,0.0,0.0,0.9231496084623625,0.9231496084623625,0.01242793431998602,1,0,1.5500624451280748e-16,1.198669276137577e-05,8.124825598227958e-06,1.2265155491371176e-05,1.945215863969253e-07,4.2760130723784274e-07,0.9231496084623625,0.006730506751357019,0.00012986393658387556,6.591331391774009e-05,6.659144679373147e-06,0.0003277208716270199,0.00018075329075397506,6.519808492333245e-06,7.756693260972948e-07,3.57401431260505e-07,0.06320095550194806,0.004521934420545467,0.00045409812949825544,4.258356026646505e-05,2.344333437602874e-05,0.0007633809717006428,6.22286567247664e-06,4.5051276260724886e-06,1.015494284161051e-09,6.951879706433424e-07,0.00011841317961475187,0.00015818748198631298,6.968132351075558e-05,1.022404291012717e-06,3.198048223338157e-06,0.0024642380244446205,0.002869161465370234,-0.0035252059525042773,-0.00044394775790092614,-0.0006582145492048464,0.683862851302333,0.08257942370041609,-0.011470761430934425,0.008172116311464216,-0.002597509777166767,-0.012885017668513257,0.013532906210627867,-0.0025701909216891434,-0.0008865153797896763,-0.000601763870298541,-0.17893479079633992,0.06768775271914725,0.021449779007438826,0.006568541526255598,0.004873687250433614,-0.019665438419021256,0.002510979567661213,0.0021364932002224894,3.2076480258929436e-05,0.0008392649572199098,-0.00774520628536643,-0.012660009224825077,0.00840245433915978,0.0010177926197590236,0.0018000744585684103,0.0024642380244446205,0.002869161465370168,-0.003525205952504238,-0.00044394775790093655,-0.000658214549204934,0.683862851302333,0.08257942370041596,-0.011470761430934397,0.008172116311464209,-0.002597509777166841,-0.012885017668513243,0.013532906210627922,-0.002570190921689111,-0.0008865153797896776,-0.0006017638702984548,-0.17893479079633998,0.06768775271914734,0.021449779007438774,0.0065685415262556526,0.004873687250433581,-0.01966543841902129,0.0025109795676612834,0.002136493200222462,3.207648025887501e-05,0.0008392649572198773,-0.007745206285366437,-0.01266000922482499,0.008402454339159836,0.0010177926197590774,0.0018000744585684085,fourier,NO_LDISS,0.25330043749372616
500,0.25819051123099857,0.2581905112309985,0.9999999999999998,1.0,0.6831952578403133,0.03486778551716563,-0.14822758319384333,-0.00791656620298037,-0.004586523128718845,-0.000531969220905454,0.0,0.0,0.002354390293188086,0.002354390293188086,0.051036135891258654,0,0,1.4959186601885465e-16,0.9038979746197836,0.00025109475050165035,0.0004822809109885771,5.07268659921097e-07,1.9275989826755537e-05,0.002354390293188086,0.04544613769795406,2.2870824514750372e-05,0.0002482696660390662,4.3621833716799244e-07,0.04254884564644264,0.00017599795457587958,0.0019984382335980154,6.8197372822041515e-06,7.385995759456878e-05,0.00012136778409741684,0.0021515129124552476,3.466475884807603e-05,1.385282295051965e-05,4.523653551275722e-06,4.07377372428923e-05,6.28182123487234e-05,2.94998253253064e-05,6.75390071588688e-08,1.9177487374931565e-07,5.480279864692012e-07,8.31621302077673e-06,4.37392133809873e-06,1.745610912638033e-07,1.5048657583808016e-07,0.6831952578403133,0.0161034508102383,-0.022317737785455986,0.0007238009522969463,-0.004461783351017187,0.03486778551716563,0.21664497710040836,0.004860053445688783,0.01601260403529367,0.0006712002249157551,-0.14822758319384333,0.013481988261017944,0.04543028897976527,0.0026538963471495194,0.008733828532972603,-0.00791656620298037,-0.04713810428037662,0.0059833474940651854,0.0037824158626926147,0.0021614480544633044,-0.004586523128718845,-0.008054580401469544,-0.0055196286041602535,0.0002641055151743894,-0.00044503686451617024,-0.000531969220905454,-0.0029306431316966797,-0.0021253752481553787,-0.0004245940055838866,-0.00039422940503740385,0.6831952578403137,0.016103450810238257,-0.022317737785455947,0.0007238009522969177,-0.004461783351017171,0.03486778551716563,0.21664497710040836,0.0048600534456887876,0.01601260403529365,0.0006712002249157382,-0.14822758319384322,0.01348198826101801,0.04543028897976524,0.002653896347149523,0.00873382853297261,-0.007916566202980311,-0.047138104280376625,0.005983347494065231,0.003782415862692569,0.0021614480544633074,-0.004586523128718873,-0.00805458040146953,-0.005519628604160238,0.00026410551517441587,-0.0004450368645161854,-0.0005319692209054864,-0.0029306431316966867,-0.0021253752481553406,-0.0004245940055839035,-0.0003942294050374717,fourier,NO_LVAR_LRE,0.25819051123099857
500,0.25779521119357873,0.25779521119357873,1.0,1.0,0.6832237806559658,0.03794622676331022,-0.1462760522224275,-0.009994411605267014,-0.004881884054027872,-0.0006030885538109433,0.0,0.0,0.0027927518880312445,0.0027927518880312445,0.05010760956982936,0,0,1.5348245663341012e-16,0.905359592004435,0.00020298157542144248,0.0005078511765632442,3.565516098347286e-07,2.0888615426329988e-05,0.0027927518880312445,0.04478638876166755,1.399280913250458e-05,0.0002535017643210818,2.348000550012036e-07,0.041499381145818776,0.0002820187936431788,0.0018909287508778456,6.41694162656509e-06,7.111736522192757e-05,0.00019373568436942325,0.0019041247051839302,4.686366634419886e-05,1.2864272334721063e-05,5.235336789572718e-06,4.622427198439217e-05,6.93431961024795e-05,2.13533410242491e-05,4.49666093029802e-08,1.2316686802518986e-07,7.054355316644349e-07,8.052235136667883e-06,2.7198814782845823e-06,8.487822434700558e-08,1.2201816707349464e-07,0.6832237806559658,0.01446757451740631,-0.02288419553465046,0.0006063573123456312,-0.004641114101321874,0.03794622676331022,0.21490199207463673,0.0037985677224477415,0.01616805997899539,0.0004920582476386273,-0.1462760522224275,0.017053221920540595,0.04415755322408905,0.002572358312395234,0.008563577800643301,-0.009994411605267014,-0.04431136335125798,0.006951612406487622,0.0036421684768176933,0.002323484239961538,-0.004881884054027872,-0.008456085118794972,-0.004692457377125468,0.00021533394104897557,-0.0003563808566946629,-0.0006030885538109433,-0.002881546569214284,-0.0016747207768650595,-0.0002958459042898668,-0.00035471509215236345,0.6832237806559658,0.014467574517406295,-0.022884195534650417,0.0006063573123456035,-0.004641114101321772,0.03794622676331019,0.2149019920746367,0.003798567722447796,0.01616805997899541,0.000492058247638566,-0.14627605222242743,0.01705322192054069,0.04415755322408898,0.002572358312395334,0.008563577800643301,-0.009994411605266958,-0.04431136335125796,0.006951612406487587,0.0036421684768176647,0.0023234842399615235,-0.004881884054027878,-0.008456085118795028,-0.004692457377125444,0.0002153339410489825,-0.00035638085669467863,-0.0006030885538109857,-0.0028815465692143116,-0.0016747207768650317,-0.00029584590428977185,-0.00035471509215231553,fourier,NO_LVAR_LDISS,0.25779521119357873
500,0.25457210059955593,0.25457210059955593,1.0,1.0,-0.031491913137906,0.6742730704188915,0.08959381564841096,-0.18644541918674962,-0.05530478252508958,-0.008055660325166998,0.0,0.0,0.8929575794467725,0.8929575794467725,0.014918815385565725,1,0,1.3536609178419822e-16,0.0019478579756967028,0.0014174633318044165,2.6068954077580157e-08,1.8337327935197898e-05,1.2198711703930536e-11,0.8929575794467725,0.006023227406326149,9.106937110026914e-05,7.37216258063979e-05,3.5758585306447933e-06,0.015765772807657483,0.0024773885718007206,4.515499005500242e-06,1.618314585631631e-05,7.670809534868474e-08,0.06827514533967635,0.0041357825136103645,0.00032623620416242897,4.288189568627302e-05,2.0181328017599186e-05,0.006007372691162822,4.3314573090006725e-06,7.416251471387878e-05,3.6484465836223844e-08,4.543807645016677e-06,0.0001274563534684972,0.00015254210362821138,3.011181749953134e-05,3.1585442926167837e-07,2.104476984572374e-06,-0.031491913137906,-0.03799192640023907,0.00016292855366648216,-0.004321190619191079,3.5244583487838155e-06,0.6742730704188915,0.0783159154506225,-0.009629895347567596,0.008664287423937215,-0.0019082073447013945,0.08959381564841096,0.05022644772327198,-0.0021443134724992074,0.004059446974626688,-0.00027948338745553876,-0.18644541918674962,0.06489544952036937,0.018226424310352828,0.006608035793651715,0.004533256254097664,-0.05530478252508958,0.0021001601708532623,0.00869015699661579,-0.0001927477844975681,0.002151024553009302,-0.008055660325166998,-0.012463220089609092,0.0055373743358115715,0.0005671251203775735,0.0014638867806302624,-0.03149191313790611,-0.037991926400239046,0.00016292855366640332,-0.004321190619191135,3.5244583489030777e-06,0.6742730704188915,0.07831591545062253,-0.009629895347567533,0.008664287423937194,-0.0019082073447014031,0.08959381564841083,0.050226447723271964,-0.002144313472499097,0.004059446974626682,-0.00027948338745551696,-0.1864454191867495,0.06489544952036934,0.018226424310352728,0.006608035793651696,0.004533256254097616,-0.05530478252508949,0.0021001601708531942,0.008690156996615881,-0.0001927477844975451,0.0021510245530091945,-0.008055660325167078,-0.012463220089609085,0.005537374335811536,0.0005671251203775724,0.001463886780630318,fourier,LVAR_HALF,0.25457210059955593
500,0.25982876730997284,0.25982876730997284,1.0,1.0,0.01799568908931226,0.6943388421472403,-0.06032117499711932,-0.1685610968971258,-0.005952299864095484,-0.0055086958817105085,0.0,0.0,0.9277387425296574,0.9277387425296574,0.009833397180181006,1,0,1.4219666976807532e-16,0.000623188935451572,0.0004325084503189483,2.1726745209030275e-05,8.253562185917872e-07,5.242042863802842e-07,0.9277387425296574,0.004907896187572831,0.00019528609949208322,5.754191603624219e-05,9.925579120025786e-06,0.00700200403270249,1.4598589552052298e-06,2.102597056217652e-06,1.2698858293549067e-06,1.6536639550277896e-07,0.05467609241525213,0.0037057705690190495,0.0003084071658487835,3.3530989376734476e-05,1.672594183440911e-05,6.817927444855186e-05,1.1362048404317217e-05,8.946636946364351e-08,6.800669722855081e-09,8.568511009339406e-08,5.8395632306895786e-05,7.62212650194739e-05,4.7262265801300765e-05,6.993542082329022e-07,2.003382029012278e-06,0.01799568908931226,0.021201711015625034,-0.0047519399934427605,0.0009261777126843953,-0.0007381147703407465,0.6943388421472403,0.07142023849028688,-0.014246535930365766,0.00773331626466958,-0.003211822527845463,-0.06032117499711932,0.0012317684080660612,0.001478262765906806,-0.0011488304829968396,0.0004145693992468836,-0.1685610968971258,0.06206015787546133,0.017903413499336017,0.005903326396682031,0.004169355273388357,-0.005952299864095484,-0.003436385910231845,-0.0003049323629491438,-8.407162734173023e-05,0.0002984188769658239,-0.0055086958817105085,-0.008900444333361488,0.007008593657340469,0.0008525546125338764,0.0014429640093213862,0.01799568908931226,0.021201711015625013,-0.0047519399934427935,0.0009261777126844343,-0.0007381147703408438,0.6943388421472402,0.07142023849028686,-0.01424653593036579,0.007733316264669516,-0.0032118225278454458,-0.06032117499711931,0.001231768408066043,0.0014782627659068086,-0.0011488304829968678,0.0004145693992468405,-0.16856109689712578,0.06206015787546137,0.01790341349933597,0.005903326396682139,0.004169355273388358,-0.005952299864095536,-0.003436385910231903,-0.00030493236294911125,-8.407162734178249e-05,0.0002984188769658905,-0.005508695881710504,-0.00890044433336154,0.007008593657340394,0.0008525546125338502,0.0014429640093213056,fourier,LVAR_DOUBLE,0.25982876730997284
500,0.25278826324647624,0.25278826324647624,1.0,1.0,0.005332228755086266,0.6815324045257689,-0.022618662126272282,-0.18250620863271252,-0.01366746252832482,-0.005945691315523663,0.0,0.0,0.9187262344648255,0.9187262344648255,0.013883960587369489,1,0,1.4244933509492267e-16,5.623810047867238e-05,0.0001170021630754609,9.504120135850345e-06,2.6254044853353675e-08,2.585553036563943e-07,0.9187262344648255,0.00748893965885291,0.00016476293074925755,6.153634367332434e-05,8.260092970059982e-06,0.0010119217360254474,2.399780126310736e-05,4.306380903026324e-06,3.0950323024141873e-06,2.4955036349090287e-07,0.06588224421837649,0.005082129875469764,0.0005253078025993727,4.768669499445623e-05,2.5650543293878554e-05,0.0003694782533891375,1.0705865301826864e-06,6.242503694180103e-07,3.5332508358142353e-09,2.8112718950123016e-07,6.992263953533508e-05,0.00023733159120857517,7.710971620298767e-05,1.4143364555301278e-06,3.4116461675746584e-06,0.005332228755086266,0.01087690647195732,-0.003100019369505599,0.0001629320643909524,-0.0005113110449206635,0.6815324045257689,0.08701990691604043,-0.012907383175764831,0.007888134239151346,-0.00289002045401474,-0.022618662126272282,0.004925997362173473,-0.0020867223575299293,-0.0017690538040647887,-0.0005023281914421773,-0.18250620863271252,0.07168550159726951,0.023047051619581906,0.006943957605749915,0.0050928013079593465,-0.01366746252832482,0.0010404455000045942,0.000794488934387761,5.977171044564949e-05,0.0005331628418612047,-0.005945691315523663,-0.015491241493842692,0.008830046712986726,0.0011958723280344572,0.001857335844173255,0.005332228755086266,0.01087690647195727,-0.003100019369505635,0.0001629320643909589,-0.00051131104492069,0.6815324045257688,0.0870199069160403,-0.012907383175764746,0.00788813423915127,-0.0028900204540147235,-0.022618662126272268,0.00492599736217351,-0.002086722357530058,-0.001769053804064761,-0.0005023281914422299,-0.18250620863271236,0.07168550159726943,0.023047051619581947,0.006943957605749903,0.005092801307959322,-0.013667462528324752,0.001040445500004642,0.0007944889343878057,5.977171044564168e-05,0.0005331628418612493,-0.005945691315523662,-0.015491241493842667,0.00883004671298672,0.0011958723280344127,0.0018573358441732277,fourier,LDISS_HALF,0.25278826324647624
500,0.2535646438641854,0.2535646438641854,1.0,1.0,0.001599160740653971,0.6837689178536999,-0.011244956398616668,-0.18085513911035003,-0.02011468169883085,-0.00636125905336954,0.0,0.0,0.9219343949096547,0.9219343949096547,0.012436081132499064,1,0,1.392713210869429e-16,5.042728030763447e-06,5.1690934646760856e-08,6.53133806285249e-06,6.200014441636943e-07,1.6507692270407512e-07,0.9219343949096547,0.006774318886712171,0.0001333753362451202,6.566780527947204e-05,6.61997087936391e-06,0.0002493428154646803,0.0004689090873071661,5.217729668640205e-06,8.656613652660725e-09,2.259249552212031e-07,0.06449751993054573,0.004225623860929421,0.0004374226991955158,4.1179498167047205e-05,2.2826758285777947e-05,0.0007978249918430924,5.454811111524086e-07,9.0366475779422e-06,6.364692073192034e-10,1.0054876855666513e-06,7.9793491962054e-05,0.0001703544106426958,6.260206340788511e-05,7.735907952278597e-07,2.9984932064499844e-06,0.001599160740653971,-0.00022897155661533858,-0.002573803729784997,-0.0007929954486241338,-0.0004091829474240317,0.6837689178536999,0.08289095863679215,-0.011630867488757645,0.008161135621721282,-0.0025912086434073103,-0.011244956398616668,0.021808142124236242,-0.002300462358056178,-9.370189235883685e-05,-0.0004786923053933347,-0.18085513911035003,0.06546659634960636,0.021063231560197185,0.006462712986736515,0.004811676978063731,-0.02011468169883085,0.0007438137500315536,0.0030274572332748603,2.5407564848636257e-05,0.0010098636084155761,-0.00636125905336954,-0.013144710794126793,0.00796835488998414,0.0008857884047300782,0.0017439172709995962,0.001599160740654082,-0.0002289715566154149,-0.0025738037297850097,-0.0007929954486241442,-0.00040918294742406294,0.6837689178537,0.08289095863679209,-0.0116308674887577,0.008161135621721176,-0.002591208643407122,-0.011244956398616644,0.021808142124236242,-0.002300462358056291,-9.370189235883425e-05,-0.00047869230539340606,-0.18085513911034992,0.06546659634960639,0.021063231560197265,0.006462712986736532,0.0048116769780637055,-0.020114681698830926,0.0007438137500316013,0.0030274572332748763,2.5407564848487288e-05,0.001009863608415663,-0.006361259053369461,-0.013144710794126761,0.007968354889984113,0.0008857884047300344,0.0017439172709994887,fourier,LDISS_DOUBLE,0.2535646438641854
