architecture,seed,Re,n_mx,n_mt,n_modes,E_target,E_total,mode2_fraction,fourier_mode2_fraction,temporal_fraction,A2,dominant_i,dominant_j,modal_coverage,reconstruction_rmse,n_params,reused,reused_source,final_loss,PDE_loss,BC_loss,diss_loss,ctrl_loss,var_loss
small,0,500,6,5,30,0.25,0.276235039668576,0.9361355169270668,0.9361355169270668,0.004283173054830916,0.7191570505161041,1,0,1.0000000000000002,1.3920064073122432e-16,8774,False,,1.383660758260044,0.013310870772597936,0.0002039042305338091,0.004944181572684524,8.699171941507194e-05,0.25932210731301886
small,1,500,6,5,30,0.25,0.2444558970264952,0.9029688129885745,0.9029688129885745,0.01704045843844757,0.6644336703781222,1,0,1.0000000000000004,1.5788884571200233e-16,8774,False,,1.3816489878713072,0.012028430570657235,0.00015885089762830788,0.004298087712377514,8.750022002175751e-05,0.25935398783292063
small,2,500,6,5,30,0.25,0.25605232314366677,0.9230188285035248,0.9230188285035248,0.007060829892841706,0.6875188947856972,1,0,1.0,1.4006044546491911e-16,8774,False,,1.383920173313966,0.013222214865806726,0.0002260945787440242,0.005154638810659926,8.712265951575758e-05,0.25932768175404425
baseline,0,500,6,5,30,0.25,0.23984877010406808,0.5323089456241081,0.5323089456241081,0.437644863015005,-0.5053190000847694,1,0,1.0,1.333104057836638e-16,44824,True,04_seed_study\seed_0,1.3766347411455246,0.0069130637669061,0.0001634844462757,0.0049446229075091,8.98903606912685e-05,0.2594781849680782
baseline,1,500,6,5,30,0.25,0.2673075404203987,0.9106859730812016,0.9106859730812016,0.013139321512786519,0.6977581637783874,1,0,1.0000000000000002,1.5483871605474105e-16,44824,True,04_seed_study\seed_1,1.3764940818735925,0.0068642864043167,0.000157982852767,0.0049115076624939,8.920861820328837e-05,0.2594448049325038
baseline,2,500,6,5,30,0.25,0.25667637305969426,0.891747409592756,0.891747409592756,0.05042311044136057,0.676595138586801,1,0,0.9999999999999998,1.6728458342837413e-16,44824,True,04_seed_study\seed_2,1.374018407114035,0.0047752985815709,0.0001308369104493,0.0053452320725063,9.013988132510212e-05,0.2594934408290971
large,0,500,6,5,30,0.25,0.25719030971995294,0.922270427471099,0.922270427471099,0.013450559396270594,0.6887655869551633,1,0,1.0000000000000002,1.4008463399019826e-16,139624,False,,1.3733944095645083,0.004731262980154511,9.416319754707321e-05,0.004807420734431797,9.024314136917893e-05,0.25949956977497557
large,1,500,6,5,30,0.25,0.25183516034966397,0.8674147940448137,0.8674147940448137,0.04772415436491159,0.6609773729076456,1,0,1.0,1.405112406200865e-16,139624,False,,1.371789626571811,0.0032918738924328306,8.386298262471074e-05,0.004624580483019447,9.084794101784151e-05,0.2595314157843783
large,2,500,6,5,30,0.25,0.2541118994554289,0.8862995500766176,0.8862995500766176,0.029981300907127965,0.6711471703828622,1,0,1.0,1.580187036820954e-16,139624,False,,1.3728912505566113,0.004227346715059073,9.467869733130333e-05,0.004675231308619115,9.03136446824283e-05,0.25950332397939585
