parametrization,Re,epoch_final,L_total_final,L_PDE_final,L_BC_final,L_diss_final,L_ctrl_final,energy_MC_final,L_var_final
chebyshev_mod,100.0,3000,1.3925406374905296,0.014238632918778084,0.0006754155513882213,0.022614590113658014,8.643975512000371e-05,0.25929729826992787,0.25929453666595065
chebyshev_mod,500.0,3000,1.401663078092631,0.025511086903538847,0.0005847512058424038,0.006557553315043059,8.515586250442036e-05,0.2592279934170122,0.2592246422095041
chebyshev_mod,1000.0,3000,1.4451993095899156,0.06205540312227402,0.0010554269921668985,0.0019435462660335717,7.788112533774079e-05,0.2588250283477018,0.25880568819418753
fourier,100.0,3000,1.3717479895185576,0.0023899041606849744,8.690791977419095e-05,0.02090553943605911,9.131037968417907e-05,0.2595556464817499,0.25955526278200164
fourier,500.0,3000,1.3759917390975827,0.00669005037389895,0.0001359858999725742,0.00483216202785045,8.934355515040002e-05,0.25945217198057674,0.2594502983134368
fourier,1000.0,3000,1.3806459920969143,0.00942330345741761,0.00026580000340330624,0.00433799121466414,8.902577259960462e-05,0.25943534697823056,0.2594341984153573
