Re,E_total,E_modes_sum,modal_coverage,domain_area,A10,A20,A30,A40,A50,A60,A70,A80,mode2_fraction,fourier_mode2_fraction,temporal_fraction,dominant_i,dominant_j,reconstruction_rmse,Efrac_0_0,Efrac_1_0,Efrac_2_0,Efrac_3_0,Efrac_4_0,Efrac_5_0,c_0_0,c_1_0,c_2_0,c_3_0,c_4_0,c_5_0,native_c_0_0,native_c_1_0,native_c_2_0,native_c_3_0,native_c_4_0,native_c_5_0,basis_type,n_mt,E_j=0,E_j=1,E_j=2,E_j=3,E_j=4,E_mode0,energy_final,Efrac_0_1,Efrac_0_2,Efrac_1_1,Efrac_1_2,Efrac_2_1,Efrac_2_2,Efrac_3_1,Efrac_3_2,Efrac_4_1,Efrac_4_2,Efrac_5_1,Efrac_5_2,c_0_1,c_0_2,c_1_1,c_1_2,c_2_1,c_2_2,c_3_1,c_3_2,c_4_1,c_4_2,c_5_1,c_5_2,native_c_0_1,native_c_0_2,native_c_1_1,native_c_1_2,native_c_2_1,native_c_2_2,native_c_3_1,native_c_3_2,native_c_4_1,native_c_4_2,native_c_5_1,native_c_5_2,Efrac_0_3,Efrac_0_4,Efrac_1_3,Efrac_1_4,Efrac_2_3,Efrac_2_4,Efrac_3_3,Efrac_3_4,Efrac_4_3,Efrac_4_4,Efrac_5_3,Efrac_5_4,c_0_3,c_0_4,c_1_3,c_1_4,c_2_3,c_2_4,c_3_3,c_3_4,c_4_3,c_4_4,c_5_3,c_5_4,native_c_0_3,native_c_0_4,native_c_1_3,native_c_1_4,native_c_2_3,native_c_2_4,native_c_3_3,native_c_3_4,native_c_4_3,native_c_4_4,native_c_5_3,native_c_5_4
500,0.23900817835494195,0.23900817835494204,1.0000000000000004,1.0,-0.04575430540867931,0.6529421060001325,0.08894271778669097,-0.20025326664842566,-0.037093580512941884,0.014191366835038683,0.0,0.0,0.8918803463594386,0.8918803463594386,0.0,1,0,1.0891231705113581e-16,0.004379466171073418,0.8918803463594386,0.01654923923886595,0.08389121050036297,0.002878423919927031,0.0004213138103323643,-0.04575430540867931,0.6529421060001325,0.08894271778669097,-0.20025326664842566,-0.037093580512941884,0.014191366835038683,-0.045754305408679086,0.6529421060001324,0.088942717786691,-0.20025326664842574,-0.037093580512941746,0.014191366835038771,fourier,1,0.24020922447732868,0.0,0.0,0.0,0.0,0.24020922447732868,0.23900817835494195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,0.2777568570266227,0.2777568570266227,1.0,1.0,0.05389531588898705,0.7041396705148992,0.0008823194038017623,-0.2217002836818133,0.005480879294672739,0.015955111440362907,0.0,0.0,0.892530036702762,0.892530036702762,0.013248878125610984,1,0,1.1833987310869285e-16,0.005228862944858435,0.892530036702762,1.4013830993387141e-06,0.08847849214373384,5.4076140845540006e-05,0.00045825255908983625,0.05389531588898705,0.7041396705148992,0.0008823194038017623,-0.2217002836818133,0.005480879294672739,0.015955111440362907,0.05389531588898677,0.7041396705148996,0.0008823194038016992,-0.22170028368181335,0.005480879294672725,0.015955111440362893,fourier,3,0.27537385253971797,0.003505564604469151,0.00014477185859009285,0.0,0.0,0.27537385253971797,0.2777568570266227,0.0002459388017509259,3.603961196851408e-05,0.005734288052524995,0.00020561938102282696,0.000740375551980869,2.406421557688814e-05,0.005051048257404553,0.00047092822041280396,8.904397831634265e-06,1.0810923542750957e-07,0.0007148461385970176,1.6717387304528607e-05,0.0165301165870336,-0.006327795618960375,0.07981823918766076,-0.015114521893418926,0.028680612708765978,0.005170686950666244,0.07491230309278947,0.02287387526301576,-0.003145318779029819,-0.00034657225190656143,-0.028181796728691744,0.00430969556020034,0.016530116587033655,-0.006327795618960319,0.07981823918766075,-0.015114521893418966,0.028680612708766023,0.005170686950666208,0.0749123030927894,0.022873875263015847,-0.003145318779029814,-0.0003465722519066012,-0.02818179672869172,0.004309695560200317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,0.25329079613584404,0.253290796135844,0.9999999999999998,1.0,0.0014235728326542074,0.6839268238828131,-0.01102246836207367,-0.1791519625420669,-0.019863287396571783,-0.007164302261942202,0.0,0.0,0.9233574759968128,0.9233574759968128,0.012161648735501525,1,0,1.6185493365612955e-16,4.0004604209626445e-06,0.9233574759968128,0.00023983265607439473,0.06335687315195776,0.0007788482491626021,0.00010132075006969956,0.0014235728326542074,0.6839268238828131,-0.01102246836207367,-0.1791519625420669,-0.019863287396571783,-0.007164302261942202,0.0014235728326540409,0.6839268238828132,-0.011022468362073642,-0.17915196254206697,-0.01986328739657188,-0.007164302261942204,fourier,5,0.2513901484591954,0.0029043310307011213,0.00012674743217537583,3.192632220359965e-05,7.453892763110397e-06,0.2513901484591954,0.25329079613584404,2.2465411862907445e-07,1.1823366140286728e-05,0.00633284356310933,0.00016101500204294066,0.00024071613513357732,7.080733881815064e-06,0.0046084275875094794,0.00043516041683258844,1.0422448834597775e-05,6.005084252630345e-06,0.0001391667152254901,7.001235631677375e-05,-0.0004770862419427105,-0.003461069096495363,0.08010121067508824,-0.012772410588024643,0.015616809086459016,-0.002678420969266021,0.06833073371696409,0.020997345396628793,0.0032495601936264364,0.0024666029848449955,-0.01187428281540821,0.008422229032939443,-0.0004770862419426758,-0.003461069096495262,0.08010121067508821,-0.012772410588024682,0.015616809086459092,-0.002678420969265987,0.06833073371696409,0.020997345396628817,0.0032495601936264286,0.0024666029848448936,-0.0118742828154081,0.008422229032939446,4.975786086734559e-07,3.839100998617093e-07,5.9844173122111846e-05,8.187322582009896e-06,5.492995263202165e-07,3.021460381433202e-07,4.134005226333247e-05,2.2599744103999942e-05,8.526270032808712e-11,9.041360447263866e-07,9.536444095698236e-07,3.1885800419368483e-06,-0.0007100199488213419,-0.0006236694471867729,0.007786649665726843,-0.0028801204523549086,-0.0007460094217600463,-0.000553284052004439,0.006471801835679731,0.004785104879339007,-9.29435468374068e-06,0.0009570984036845105,0.000982953410351554,0.001797373614321794,-0.0007100199488212673,-0.0006236694471867688,0.007786649665726832,-0.002880120452354827,-0.0007460094217600173,-0.0005532840520043464,0.006471801835679683,0.004785104879339037,-9.294354683721598e-06,0.0009570984036845077,0.0009829534103515652,0.0017973736143218231
