architecture,seed,Re,net_arch,coeff_arch,n_params,history_epoch,history_total,history_pde,history_bc,history_diss,history_ctrl,history_energy,history_var,E_total,mode2_fraction,fourier_mode2_fraction,temporal_fraction,A10,A20,A30,A40,A50,A60,dominant_i,dominant_j,modal_coverage,reconstruction_rmse,E_modes_sum,domain_area,A70,A80,Efrac_0_0,Efrac_0_1,Efrac_0_2,Efrac_0_3,Efrac_0_4,Efrac_1_0,Efrac_1_1,Efrac_1_2,Efrac_1_3,Efrac_1_4,Efrac_2_0,Efrac_2_1,Efrac_2_2,Efrac_2_3,Efrac_2_4,Efrac_3_0,Efrac_3_1,Efrac_3_2,Efrac_3_3,Efrac_3_4,Efrac_4_0,Efrac_4_1,Efrac_4_2,Efrac_4_3,Efrac_4_4,Efrac_5_0,Efrac_5_1,Efrac_5_2,Efrac_5_3,Efrac_5_4,c_0_0,c_0_1,c_0_2,c_0_3,c_0_4,c_1_0,c_1_1,c_1_2,c_1_3,c_1_4,c_2_0,c_2_1,c_2_2,c_2_3,c_2_4,c_3_0,c_3_1,c_3_2,c_3_3,c_3_4,c_4_0,c_4_1,c_4_2,c_4_3,c_4_4,c_5_0,c_5_1,c_5_2,c_5_3,c_5_4,native_c_0_0,native_c_0_1,native_c_0_2,native_c_0_3,native_c_0_4,native_c_1_0,native_c_1_1,native_c_1_2,native_c_1_3,native_c_1_4,native_c_2_0,native_c_2_1,native_c_2_2,native_c_2_3,native_c_2_4,native_c_3_0,native_c_3_1,native_c_3_2,native_c_3_3,native_c_3_4,native_c_4_0,native_c_4_1,native_c_4_2,native_c_4_3,native_c_4_4,native_c_5_0,native_c_5_1,native_c_5_2,native_c_5_3,native_c_5_4,basis_type,model_file,metadata_file,history_file
small,0,500,4-64-64-32-3,1-32-32-30,8774,3000.0,1.383660758260044,0.0133108707725979,0.0002039042305338,0.0049441815726845,8.699171941507194e-05,0.2593269351565813,0.2593221073130188,0.276235039668576,0.9361355169270668,0.9361355169270668,0.004283173054830916,0.016050667830886767,0.7191570505161041,0.07644929854573775,-0.16183544587077764,-0.02401519790054568,-0.00687972502095308,1,0,1.0000000000000002,1.3920064073122432e-16,0.27623503966857604,1.0,0.0,0.0,0.0004663129234556157,0.0020869750917401077,5.386896725914231e-06,2.787395165834205e-05,9.612473722853139e-08,0.9361355169270668,0.0002091037228349738,2.5019718699619436e-05,1.7980876071487436e-09,1.6388008959477323e-06,0.01057884484015407,0.0001996380094911498,1.3753877245669544e-06,5.291788804490407e-07,2.878814044312495e-07,0.047406570092658674,0.0015645850164385283,0.00010020426749455316,8.589402658747859e-06,5.713763844964047e-06,0.0010439112483599622,2.7907752306338745e-05,1.1558370192676304e-06,2.1212436401422274e-07,1.4547120298762812e-08,8.567091347411003e-05,9.374011998570501e-06,7.0177883154582025e-06,7.51426153856404e-08,3.9683777445114804e-07,0.016050667830886767,-0.04802064752808561,0.0024397127952063865,-0.005549689051491835,0.00032590195213563734,0.7191570505161041,0.015200233573490363,-0.005257879035309195,4.457330149263382e-05,-0.0013456511145182018,0.07644929854573775,0.014852207037493561,0.0012327696989388166,0.0007646639759596719,0.0005639962098202844,-0.16183544587077764,0.04157851387824036,0.010522343808547314,0.0030807102974272586,0.0025126414645711146,-0.02401519790054568,0.0055530528776168795,0.0011301020924992617,0.0004841329656536116,0.0001267820863180961,-0.00687972502095308,-0.0032183415457523023,0.002784642909750739,-0.0002881459584436535,0.0006621797289784769,0.016050667830886822,-0.0480206475280856,0.0024397127952063523,-0.005549689051491873,0.0003259019521356433,0.7191570505161042,0.01520023357349036,-0.005257879035309138,4.4573301492628614e-05,-0.0013456511145181448,0.0764492985457377,0.014852207037493603,0.0012327696989388078,0.0007646639759597146,0.0005639962098203232,-0.1618354458707776,0.04157851387824036,0.01052234380854732,0.003080710297427296,0.002512641464571072,-0.024015197900545723,0.005553052877616968,0.001130102092499264,0.000484132965653649,0.00012678208631812168,-0.006879725020953051,-0.003218341545752375,0.0027846429097507577,-0.0002881459584437346,0.000662179728978491,fourier,C:\Users\kings\OneDrive\Documents\Default Project\PoF_R_lid_driven_paper\results_reviewers\09_architecture\small\seed_0\model.pt,C:\Users\kings\OneDrive\Documents\Default Project\PoF_R_lid_driven_paper\results_reviewers\09_architecture\small\seed_0\metadata.json,C:\Users\kings\OneDrive\Documents\Default Project\PoF_R_lid_driven_paper\results_reviewers\09_architecture\small\seed_0\training_history.csv
small,1,500,4-64-64-32-3,1-32-32-30,8774,3000.0,1.3816489878713072,0.0120284305706572,0.0001588508976283,0.0042980877123775,8.750022002175751e-05,0.2593541552275851,0.2593539878329206,0.2444558970264952,0.9029688129885745,0.9029688129885745,0.01704045843844757,-0.003485571521762987,0.6644336703781222,0.11686791942700034,-0.1440069930819911,-0.06464141260570708,-0.02283910098960904,1,0,1.0000000000000004,1.5788884571200233e-16,0.24445589702649528,1.0,0.0,0.0,2.4849490196606626e-05,0.007763082483137927,0.00013075081691182115,6.773105249953012e-05,9.402598614912602e-06,0.9029688129885745,0.00034923150189579964,0.00011401933384371833,9.366753023578105e-06,8.20766086182305e-06,0.027935735560749263,0.005377799054332778,0.0001450892655643559,4.850310431750595e-05,9.492246509334599e-06,0.04241667783180733,0.002814252331528217,5.5250151653691776e-05,2.3084243450067937e-05,9.996673939034567e-07,0.008546556402377113,1.2872034418184825e-06,3.135736688247471e-05,1.6121525678705066e-07,2.002476693434157e-06,0.001066909287847993,6.314023971273234e-05,1.4355981345527949e-05,1.4966212900005347e-07,1.7420274468331901e-06,-0.003485571521762987,-0.08712591559590416,0.011307131950256224,-0.008138121452846788,0.0030321745852035244,0.6644336703781222,0.018479361467956392,-0.010558920121514243,0.003026389276087544,-0.002832956828803581,0.11686791942700034,0.07251578288497358,-0.011910990985211936,0.00688676117620049,-0.0030465952374649358,-0.1440069930819911,0.052458005229426556,0.007350163367804316,0.004751033335923609,0.0009886851662785443,-0.06464141260570708,0.0011218992325968125,0.005537325437300671,-0.00039703914271635855,0.0013993101677156454,-0.02283910098960904,-0.007857481514440596,0.003746680823084169,-0.00038254824530039666,0.0013051419572757328,-0.0034855715217629313,-0.08712591559590421,0.011307131950256163,-0.00813812145284679,0.00303217458520353,0.6644336703781224,0.018479361467956305,-0.010558920121514296,0.003026389276087502,-0.0028329568288035347,0.11686791942700041,0.07251578288497362,-0.01191099098521191,0.006886761176200525,-0.00304659523746492,-0.14400699308199114,0.052458005229426535,0.0073501633678043415,0.004751033335923603,0.0009886851662785391,-0.06464141260570713,0.0011218992325968125,0.005537325437300648,-0.00039703914271638566,0.0013993101677155853,-0.022839100989609052,-0.007857481514440573,0.0037466808230841005,-0.00038254824530039797,0.0013051419572757302,fourier,C:\Users\kings\OneDrive\Documents\Default Project\PoF_R_lid_driven_paper\results_reviewers\09_architecture\small\seed_1\model.pt,C:\Users\kings\OneDrive\Documents\Default Project\PoF_R_lid_driven_paper\results_reviewers\09_architecture\small\seed_1\metadata.json,C:\Users\kings\OneDrive\Documents\Default Project\PoF_R_lid_driven_paper\results_reviewers\09_architecture\small\seed_1\training_history.csv
small,2,500,4-64-64-32-3,1-32-32-30,8774,3000.0,1.383920173313966,0.0132222148658067,0.000226094578744,0.0051546388106599,8.712265951575758e-05,0.2593339519773651,0.2593276817540442,0.25605232314366677,0.9230188285035248,0.9230188285035248,0.007060829892841706,0.06078026002175729,0.6875188947856972,-0.10450879706582061,-0.1432438547053748,0.025799574070363776,-0.002404828412639896,1,0,1.0,1.4006044546491911e-16,0.25605232314366677,1.0,0.0,0.0,0.007213838099488068,0.00015513738186997622,2.3165179283863406e-05,8.388245100737703e-07,1.7372122916757661e-06,0.9230188285035248,0.003418584446083525,0.00016827394692205716,7.138814549119539e-05,1.2112254211807593e-05,0.021327845281873637,0.002518514283847013,8.838735561984739e-05,1.1682804075441784e-05,7.996327561916421e-06,0.0400675956752436,8.832614216834738e-06,0.0003441136380360731,1.7691100709180113e-07,1.4927721634558361e-05,0.0012997695432716686,0.00015009851666813103,3.227918259681333e-05,3.4639765805710654e-07,2.067118740613737e-06,1.1293003756492503e-05,2.8165649796707295e-05,1.5768428853361689e-06,4.0787965225053263e-07,1.9258180846334933e-08,0.06078026002175729,0.01260528254887348,-0.0048709333691491895,0.0009268936605981012,-0.0013338924140684108,0.6875188947856972,0.05917217215152717,-0.013128127822952793,0.008550812943326186,-0.0035221418650815284,-0.10450879706582061,0.05078863783365472,0.0095145757116095,0.0034591381148194513,0.002861802403274155,-0.1432438547053748,-0.0030077309651312324,0.018773502224630905,0.000425668764912538,0.003910129309253413,0.025799574070363776,-0.012398882835690213,-0.005749838151841379,0.0005956372220640602,-0.0014550471549031779,-0.002404828412639896,0.005370988759361855,0.0012708332448010456,0.0006463390210153795,-0.0001404436106802289,0.060780260021757404,0.012605282548873498,-0.004870933369149139,0.0009268936605981504,-0.0013338924140684043,0.6875188947856972,0.05917217215152709,-0.013128127822952786,0.00855081294332609,-0.0035221418650815267,-0.10450879706582059,0.05078863783365469,0.009514575711609512,0.0034591381148194253,0.002861802403274216,-0.1432438547053747,-0.0030077309651312806,0.018773502224630804,0.0004256687649125089,0.0039101293092534345,0.025799574070363773,-0.012398882835690163,-0.005749838151841435,0.0005956372220640575,-0.001455047154903211,-0.0024048284126399234,0.005370988759361872,0.0012708332448010014,0.0006463390210154334,-0.0001404436106802868,fourier,C:\Users\kings\OneDrive\Documents\Default Project\PoF_R_lid_driven_paper\results_reviewers\09_architecture\small\seed_2\model.pt,C:\Users\kings\OneDrive\Documents\Default Project\PoF_R_lid_driven_paper\results_reviewers\09_architecture\small\seed_2\metadata.json,C:\Users\kings\OneDrive\Documents\Default Project\PoF_R_lid_driven_paper\results_reviewers\09_architecture\small\seed_2\training_history.csv
