total,pde,bc,diss,ctrl,energy,var,epoch
1.3575065100905865,0.08936567954866398,0.08315736175447959,0.0008688473755697545,0.00010368480927975124,0.23981742619571303,0.14785824025287922,1
6.043756513316271,0.6799096646838956,0.34976597332819814,0.002135400017383168,0.0005862523935426744,0.225787350546818,0.12187124115425632,2
3.1507502779754057,0.35200467457158907,0.18274680750758263,0.0016286927422737925,0.0002873102807648163,0.23304977048046793,0.11369958411194067,3
0.701910500744421,0.10609943556043247,0.03969323157340076,0.001080373572993922,1.7928645216370977e-06,0.24866102108992072,0.1102667985052582,4
1.6853294221870705,0.2434464974725139,0.09609511936651012,0.001077861186339909,2.0112057879384585e-06,0.25141816987273685,0.10068480095539357,5
2.5770014838139685,0.307148040421377,0.15129017322688437,0.0011274763753149229,2.222355852801249e-06,0.25149075680538485,0.0942973580699475,6
2.1603074312843367,0.23085924966440355,0.12862434512101012,0.0010505880621059927,1.5237700837742533e-07,0.2503903549773955,0.09066874904004477,7
1.2515187279851552,0.1443294828275019,0.07378147811164916,0.0009978189550253135,2.085912675823507e-06,0.24855573109296658,0.08883406890388117,8
0.698629502490147,0.13690991770895283,0.037267659236060166,0.0010985971613387433,1.324883191112336e-05,0.24636010550824294,0.08730739656791693,9
0.6337311680329862,0.16429012267224305,0.031026607794000426,0.0012887084367260492,1.9887465144502435e-05,0.2455404635729145,0.08411434052220092,10
0.7875280461361172,0.15283090281439393,0.04217813293487513,0.0013975251363546998,9.776365208893002e-06,0.24687328203879963,0.08005928055821866,11
0.9384421620979623,0.1369009922036631,0.05341069011655064,0.0014099838847727024,1.5515947590042826e-06,0.24875436973422918,0.07633851495245135,12
0.8769431157679363,0.1356079612590654,0.04940830224993457,0.0013457998362474972,7.166538401998823e-07,0.24915344590237842,0.07341354355101828,13
0.5843396431072049,0.13117001216851656,0.030108384918588284,0.0012302537398469766,7.411722364358033e-06,0.2472775521374399,0.07142713598786121,14
0.3161664937948977,0.1153054433764639,0.012981302938500874,0.0011177428593096208,3.0428095989775987e-05,0.24448383321592104,0.07065281821437182,15
0.47381026939178295,0.12055590329938665,0.023417308319759154,0.001127785977728029,9.691759985612813e-06,0.24688684083516232,0.07176497259862427,16
0.7169680342314362,0.13721951255206846,0.038610667230133136,0.0011633433086255267,2.6517303096971213e-06,0.24837158656671682,0.07124055829534835,17
0.6706655094831127,0.13580237950444915,0.03563306257150864,0.0011569947426308712,1.5467083445122234e-06,0.2487563327034483,0.06917808340048272,18
0.44201152468022736,0.12268752680181011,0.021254455011270074,0.0011269386213488583,2.2541288914936614e-06,0.24849862433365474,0.06598501686916944,19
0.3009608364395909,0.11371735349983217,0.012413828076089376,0.001118044791509229,4.900797794212934e-06,0.24778622544187243,0.0623112250735016,20
0.32030873617905975,0.10766033929966264,0.013861752661799264,0.0011537273715546972,2.332210291915205e-05,0.24517070368281754,0.059833473226829186,21
