Re,E_total,E_modes_sum,modal_coverage,domain_area,A10,A20,A30,A40,A50,A60,A70,A80,mode2_fraction,fourier_mode2_fraction,temporal_fraction,dominant_i,dominant_j,reconstruction_rmse,Efrac_0_0,Efrac_0_1,Efrac_0_2,Efrac_0_3,Efrac_0_4,Efrac_1_0,Efrac_1_1,Efrac_1_2,Efrac_1_3,Efrac_1_4,Efrac_2_0,Efrac_2_1,Efrac_2_2,Efrac_2_3,Efrac_2_4,Efrac_3_0,Efrac_3_1,Efrac_3_2,Efrac_3_3,Efrac_3_4,Efrac_4_0,Efrac_4_1,Efrac_4_2,Efrac_4_3,Efrac_4_4,Efrac_5_0,Efrac_5_1,Efrac_5_2,Efrac_5_3,Efrac_5_4,c_0_0,c_0_1,c_0_2,c_0_3,c_0_4,c_1_0,c_1_1,c_1_2,c_1_3,c_1_4,c_2_0,c_2_1,c_2_2,c_2_3,c_2_4,c_3_0,c_3_1,c_3_2,c_3_3,c_3_4,c_4_0,c_4_1,c_4_2,c_4_3,c_4_4,c_5_0,c_5_1,c_5_2,c_5_3,c_5_4,native_c_0_0,native_c_0_1,native_c_0_2,native_c_0_3,native_c_0_4,native_c_1_0,native_c_1_1,native_c_1_2,native_c_1_3,native_c_1_4,native_c_2_0,native_c_2_1,native_c_2_2,native_c_2_3,native_c_2_4,native_c_3_0,native_c_3_1,native_c_3_2,native_c_3_3,native_c_3_4,native_c_4_0,native_c_4_1,native_c_4_2,native_c_4_3,native_c_4_4,native_c_5_0,native_c_5_1,native_c_5_2,native_c_5_3,native_c_5_4,basis_type,seed,energy_final
500,0.23984877010406808,0.23984877010406808,1.0,1.0,0.054682551012563696,-0.5053190000847694,-0.002219685793254239,0.10394112416245141,-0.02169051976488985,0.011989151694461598,0.0,0.0,0.5323089456241081,0.5323089456241081,0.437644863015005,1,0,1.333104057836638e-16,0.006233472416690359,0.3807779673022167,0.0006030682806714646,0.0009287895967347276,2.387690132971895e-05,0.5323089456241081,0.005726702376656881,0.0017345101223767737,0.0007994404010858434,5.959891497733801e-05,1.027106584419199e-05,0.03220720415977778,0.008033990117400525,8.1559754177293e-05,9.78687344515233e-05,0.022522019369677175,0.00411174413124371,0.00017088184265169696,8.066002021572095e-05,7.804991318845798e-05,0.0009807818640615524,0.00015830322515136106,0.0011025154902561658,9.188038476596046e-05,2.6421117486422923e-06,0.0002996466446136957,0.0005641486066189903,0.0001876167290437846,2.1843354464189308e-05,5.43799746337455e-10,0.054682551012563696,0.6044141862668801,0.024053705361779566,-0.029850898978910353,-0.00478616565439571,-0.5053190000847694,0.07412266918543062,0.04079314254063424,0.02769438910479467,0.00756167348061299,-0.002219685793254239,-0.1757823461694982,-0.08779390978164153,0.008845791480566079,-0.009689932010048264,0.10394112416245141,0.06280754008433777,-0.012804030583082252,-0.008796864588092724,-0.008653363666223888,-0.02169051976488985,0.012323771152705056,0.032523037026613924,0.009388801261674287,0.0015921146358090707,0.011989151694461598,-0.023264595371808083,-0.013416354454485753,0.004577816817297525,2.284116462371766e-05,0.054682551012563585,0.6044141862668803,0.024053705361779556,-0.029850898978910398,-0.004786165654395665,-0.5053190000847694,0.0741226691854306,0.04079314254063418,0.027694389104794704,0.007561673480612957,-0.0022196857932542053,-0.17578234616949825,-0.08779390978164153,0.008845791480566188,-0.009689932010048207,0.10394112416245144,0.0628075400843378,-0.01280403058308233,-0.008796864588092727,-0.008653363666223886,-0.02169051976488984,0.012323771152704995,0.03252303702661398,0.009388801261674256,0.001592114635809042,0.01198915169446169,-0.023264595371808125,-0.013416354454485808,0.00457781681729757,2.2841164623726117e-05,fourier,0,0.23984877010406808
500,0.2673075404203987,0.2673075404203988,1.0000000000000002,1.0,0.0024851442255128253,0.6977581637783874,0.07142591365108393,-0.18741452360901356,-0.021252367991387702,0.006359434024387452,0.0,0.0,0.9106859730812016,0.9106859730812016,0.013139321512786519,1,0,1.5483871605474105e-16,1.1552127956971847e-05,1.834596016124902e-06,2.4376717569017465e-05,1.2433273264636612e-06,2.545572059093019e-06,0.9106859730812016,0.008355508171068934,6.137818963616362e-05,7.535057486498217e-05,5.010957074058517e-06,0.009542680937598386,0.002192037005534505,1.1325303975311716e-05,2.963155290405731e-05,1.3490614927701948e-06,0.06569998662281115,0.0020073188233571725,0.00019545239616071302,1.4320516192566888e-05,9.826396749992623e-06,0.0008448380179081796,4.094132558566884e-06,6.315731946288435e-06,1.0767901589355796e-07,4.6727873289462645e-07,7.564769973741179e-05,0.00013482088375584112,4.5524948128369645e-06,4.13246608079841e-07,4.09033741895315e-08,0.0024851442255128253,0.001400573237978521,0.005105322875939104,-0.0011529974320430578,0.0016497885998867185,0.6977581637783874,0.09451963474688169,-0.008101074720578673,0.008975918189560665,-0.0023147065564505407,0.07142591365108393,0.04841272644501338,-0.003479850083066188,0.005628760974005019,-0.0012010234127747424,-0.18741452360901356,0.046328024240676384,0.014456264979169908,0.003913045852522328,0.003241400898645848,-0.021252367991387702,-0.00209226432783775,0.002598647934997659,0.0003393135004292992,0.0007068440529022595,0.006359434024387452,-0.012006438078644037,0.0022062784875858917,-0.0006647223010939073,0.00020912943694754104,0.0024851442255128253,0.0014005732379785418,0.005105322875939126,-0.0011529974320430218,0.0016497885998867845,0.6977581637783873,0.09451963474688169,-0.008101074720578725,0.008975918189560665,-0.002314706556450505,0.07142591365108383,0.048412726445013377,-0.0034798500830661196,0.005628760974004939,-0.0012010234127747621,-0.18741452360901353,0.04632802424067647,0.01445626497916996,0.003913045852522246,0.0032414008986458524,-0.021252367991387765,-0.0020922643278377846,0.002598647934997667,0.00033931350042926925,0.0007068440529022675,0.006359434024387493,-0.012006438078643992,0.0022062784875858873,-0.0006647223010938907,0.0002091294369475291,fourier,1,0.2673075404203987
500,0.25667637305969426,0.2566763730596942,0.9999999999999998,1.0,0.04077213387964018,0.676595138586801,-0.053686935373739766,-0.15460907670193724,0.03505263686623142,-0.0031007202901211163,0.0,0.0,0.891747409592756,0.891747409592756,0.05042311044136057,1,0,1.6728458342837413e-16,0.003238254618614025,0.028527472154065567,3.3642956840872195e-06,0.00023937353416221834,2.8257570476086146e-06,0.891747409592756,0.0006260986260406582,0.000793813717685414,1.502745965321151e-05,3.522066871311385e-05,0.005614632534085611,0.01204636783990204,3.3821274713526416e-05,7.722918558939702e-05,3.984951566844744e-06,0.046564407767025466,0.006013977465067482,0.00046314923945215975,2.3083415359896596e-05,1.865524747856624e-05,0.0023934562745869382,0.0005486568270565483,0.0002984692205522609,2.3853259980553595e-06,1.7733062775583388e-05,1.8728771571298417e-05,0.0006239195556132085,4.69547840708759e-06,1.0988313421355659e-06,2.6873074338975816e-06,0.04077213387964018,0.17114120585139014,-0.0018585319088914138,0.015676929617146212,-0.0017032968856051478,0.676595138586801,0.025353873432655136,-0.02854843084588182,0.003927947983406716,-0.006013422819665723,-0.053686935373739766,-0.11121183400500145,0.005892748807041926,-0.008904584718321328,0.0020227139342934826,-0.15460907670193724,0.07857851928857544,0.021806372185023005,0.004868251157205715,0.004376464902785987,0.03505263686623142,0.023734131070954734,-0.017505427387105782,0.0015649368367392277,-0.004266923123974285,-0.0031007202901211163,-0.025309714231165435,0.002195648758168167,0.0010621563792656392,0.0016610458457600565,0.04077213387964018,0.17114120585139017,-0.0018585319088913806,0.015676929617146167,-0.0017032968856051899,0.6765951385868006,0.025353873432655098,-0.028548430845881784,0.003927947983406666,-0.006013422819665685,-0.05368693537373982,-0.11121183400500143,0.0058927488070419035,-0.008904584718321267,0.00202271393429348,-0.1546090767019373,0.07857851928857554,0.021806372185022974,0.004868251157205751,0.004376464902786047,0.03505263686623147,0.023734131070954678,-0.01750542738710581,0.0015649368367392632,-0.0042669231239742846,-0.0031007202901211905,-0.02530971423116544,0.0021956487581681512,0.001062156379265598,0.001661045845759974,fourier,2,0.25667637305969426
500,0.2683401162849849,0.2683401162849849,1.0,1.0,-0.02908095775926614,0.10527185767734717,-0.008193700327048876,0.007724786771394674,-0.0020677014265346183,0.0011483785019828533,0.0,0.0,0.02064947308711394,0.02064947308711394,0.9775280164813045,0,1,1.5488189235483588e-16,0.0015758025969141,0.9678630848737547,0.0018511967261415825,0.0003287739575102332,5.623088816700449e-07,0.02064947308711394,5.518600657279484e-05,0.0013116149665304301,0.0024957891407300344,4.899018603481917e-05,0.00012509632547483084,0.0028356649332063,0.00036640353453552886,0.000263416865235209,2.426301002559742e-05,0.00011118786763910548,1.891858549414293e-05,1.4150889950654451e-08,9.25161810890552e-06,1.4986242023829958e-05,7.966362332407856e-06,2.683739458447623e-05,1.3313300734721643e-06,1.0932690665776544e-06,1.6118517620558357e-06,2.4572792210013934e-06,1.2419557212410403e-06,3.4440725862997455e-06,6.604656625535676e-07,3.679036172150814e-06,-0.02908095775926614,1.0192477475922477,-0.04457579364449794,-0.018785445641748364,-0.0007768913198007033,0.10527185767734717,0.0076963938103628005,-0.037521136051026076,0.05175791140478139,-0.007251491492763794,-0.008193700327048876,-0.05516965317715283,0.01983136576885145,0.016814911507188158,-0.005103229930815411,0.007724786771394674,0.004506269158159882,-0.00012324368470464748,-0.003151241202553673,-0.004010690677351949,-0.0020677014265346183,-0.005367140610635937,0.0011954066533681634,0.0010832690311390327,0.0013153318809551006,0.0011483785019828533,0.0011545848477415993,-0.001922688574160259,0.0008419725237603991,-0.001987191982926275,-0.02908095775926628,1.019247747592248,-0.04457579364449797,-0.018785445641748354,-0.000776891319800784,0.1052718576773471,0.007696393810362717,-0.037521136051025965,0.0517579114047814,-0.007251491492763768,-0.00819370032704891,-0.05516965317715283,0.019831365768851424,0.016814911507188068,-0.005103229930815476,0.007724786771394667,0.004506269158159968,-0.00012324368470468302,-0.003151241202553762,-0.004010690677351911,-0.002067701426534713,-0.005367140610635978,0.0011954066533681942,0.0010832690311390978,0.0013153318809550766,0.0011483785019829103,0.0011545848477415924,-0.0019226885741603292,0.0008419725237604411,-0.001987191982926172,fourier,3,0.2683401162849849
500,0.24948508730498575,0.2494850873049858,1.0000000000000002,1.0,0.03639618377210424,-0.5101251576921753,-0.058014856488202524,0.09597013690096257,0.015200271013894616,-0.0037117715377354738,0.0,0.0,0.5215295217071403,0.5215295217071403,0.45012109159612945,1,0,1.4508742080068426e-16,0.0026548324139979793,0.42513129980270614,0.002925526382902994,0.00039898595126060775,0.0002346266577019568,0.5215295217071403,0.0033536453550316574,5.113255526944649e-05,0.0002917856909162334,0.00024619631651773077,0.006745340191881427,0.010015699602438467,0.0037791613473643518,0.00028521196471130347,2.894154730747849e-07,0.018458552525687247,0.0030025968222073913,2.532565518137332e-05,9.981448070699501e-06,0.00013248380337853473,0.0004630501994962878,2.8922907342350395e-05,9.441858433704455e-05,5.83629470538931e-05,1.407976500631232e-06,2.7611365667521874e-05,5.148208224871676e-05,1.102235477486621e-06,3.488148039870467e-07,1.0972772334327726e-06,0.03639618377210424,0.6513491212778604,0.05403240527874334,-0.019954051707231343,-0.015301745283574641,-0.5101251576921753,-0.057850998407634524,-0.007143335359767135,0.01706413532208205,0.015674477282588018,-0.058014856488202524,-0.09997535075677148,-0.06141154284617259,-0.01687081882025008,-0.0005374191830125771,0.09597013690096257,0.054739496904158115,0.005027274925436598,-0.003156087732208119,-0.011498301309739679,0.015200271013894616,0.0053724609122525226,0.009706910683948982,0.0076316931125712285,0.0011853592538692247,-0.0037117715377354738,-0.007167708639297096,0.0010487922851192266,0.0005899969214359676,0.0010464307074637069,0.036396183772104185,0.6513491212778606,0.05403240527874334,-0.019954051707231267,-0.015301745283574673,-0.5101251576921755,-0.05785099840763448,-0.007143335359767114,0.017064135322082057,0.015674477282587945,-0.05801485648820251,-0.0999753507567715,-0.061411542846172604,-0.01687081882025,-0.0005374191830126327,0.09597013690096258,0.05473949690415808,0.00502727492543659,-0.003156087732208171,-0.011498301309739693,0.01520027101389459,0.005372460912252497,0.009706910683948994,0.007631693112571281,0.0011853592538693322,-0.0037117715377354525,-0.007167708639297197,0.0010487922851192821,0.0005899969214359412,0.0010464307074636962,fourier,4,0.24948508730498575
500,0.24517250487187592,0.24517250487187595,1.0000000000000002,1.0,0.009341139226499578,0.041920425781608164,0.024289330393341763,0.0037937492963038967,-0.006005450206469835,0.0026529701500527547,0.0,0.0,0.0035838482350002356,0.0035838482350002356,0.9949177686777275,0,1,1.5172166228561273e-16,0.00017794997464019974,0.9588834466749233,0.014719203429418862,0.00036355736661772563,7.4463436564033445e-06,0.0035838482350002356,0.0024923901448426627,0.0014876290837450273,0.0017623010893451497,3.311965701930135e-05,0.001203176455828984,0.013045315372579348,0.001497841226831652,0.00037766469096432514,3.694561034945452e-05,2.9351851119536564e-05,0.00010867050152861573,1.4472330115239247e-05,6.351785909473025e-05,8.377424040403086e-07,7.355113535515723e-05,1.1686253247505482e-05,9.365632446650514e-08,9.586871240721685e-06,1.2906072375978929e-06,1.4353670328467372e-05,6.975884953599541e-09,1.1644088229476175e-07,5.995206869316563e-10,6.281499534655577e-07,0.009341139226499578,0.9697254384648653,-0.12014564452379169,-0.018882189516927397,-0.0027023239823361013,0.041920425781608164,-0.049439479565588196,-0.03819558868675921,0.0415724799555276,-0.005699133011930681,0.024289330393341763,-0.11310795987442913,0.03832646529398086,0.019245051133773224,-0.0060193181784637595,0.0037937492963038967,0.010323375235930106,0.0037673425252747546,-0.007892485696750773,0.000906402567595546,-0.006005450206469835,-0.0033853496015968654,-0.0003030640570344575,0.003066227151384505,0.001125026949450808,0.0026529701500527547,-8.271143059510044e-05,0.00033792367648152744,-2.4247555632479073e-05,-0.0007848696644062709,0.009341139226499429,0.9697254384648654,-0.12014564452379176,-0.018882189516927154,-0.0027023239823361265,0.04192042578160812,-0.04943947956558829,-0.03819558868675926,0.0415724799555276,-0.005699133011930647,0.024289330393341694,-0.11310795987442909,0.03832646529398093,0.01924505113377311,-0.00601931817846373,0.003793749296303864,0.010323375235930224,0.0037673425252747446,-0.007892485696750648,0.0009064025675955647,-0.006005450206469837,-0.0033853496015969356,-0.00030306405703442105,0.003066227151384524,0.0011250269494508768,0.002652970150052716,-8.271143059507269e-05,0.00033792367648142856,-2.4247555632534584e-05,-0.0007848696644063239,fourier,5,0.24517250487187592
500,0.26473837308578374,0.2647383730857837,0.9999999999999998,1.0,-0.09392993937710331,0.6760933882430906,0.18173217972704592,-0.134505544195649,-0.07987305197012219,-0.02570062656824627,0.0,0.0,0.8633094331925706,0.8633094331925706,0.010185697234903307,1,0,1.3833425357291909e-16,0.016663306887754088,0.0006748189126914118,8.048157513399318e-05,1.8266821551951468e-06,2.6668950825942482e-06,0.8633094331925706,0.0009726491439066436,0.00017434581323648766,2.7052097529909817e-06,8.900876493818127e-06,0.062375893534787355,0.002013441124380982,3.9052919645287614e-05,9.408574588044847e-06,2.9680701084443675e-06,0.03416909533833499,0.00549486644132427,0.0001452569066995307,3.325047229845188e-05,5.085067317304082e-06,0.012049073877466588,0.00031914549189415416,6.738972279980414e-05,2.09497531550149e-06,1.646987688807147e-06,0.0012474999341829745,9.060884860979261e-05,4.110819121208856e-05,6.665111817682648e-08,1.9116814495316883e-06,-0.09392993937710331,-0.026732037787901012,-0.00923180616441975,-0.0013908168274955495,-0.001680511190508981,0.6760933882430906,0.03209346051401283,-0.01358764541052579,0.0016925399006967338,-0.0030701163248391134,0.18173217972704592,0.046175107041462604,-0.006430802877135416,0.003156460504739599,-0.001772864407352246,-0.134505544195649,0.076281111738093,0.012402431561449108,0.00593386078051249,0.002320527912880837,-0.07987305197012219,0.018383694764842085,0.008447637676113269,0.0014894567555733076,0.0013206374842887343,-0.02570062656824627,-0.009795435501933045,0.006597852881654043,0.0002656697844353501,0.0014228076986118566,-0.0939299393771032,-0.026732037787900953,-0.009231806164419803,-0.0013908168274956133,-0.0016805111905089888,0.6760933882430904,0.03209346051401281,-0.013587645410525774,0.0016925399006966358,-0.003070116324839011,0.18173217972704583,0.046175107041462576,-0.00643080287713535,0.003156460504739566,-0.0017728644073522525,-0.13450554419564908,0.07628111173809296,0.012402431561449146,0.005933860780512454,0.0023205279128808154,-0.07987305197012216,0.01838369476484205,0.008447637676113302,0.0014894567555732655,0.0013206374842887987,-0.025700626568246256,-0.00979543550193301,0.0065978528816541425,0.0002656697844353236,0.0014228076986118193,fourier,6,0.26473837308578374
500,0.2498212421637952,0.24982124216379523,1.0000000000000002,1.0,-0.06810137185741261,0.6754430330564121,0.10844896474617148,-0.1325316303407756,-0.03346229880011385,-0.015329323566909197,0.0,0.0,0.913099476555566,0.913099476555566,0.016213336998109902,1,0,1.413287605706557e-16,0.009282230783683358,0.008762945424525312,0.0002338149291169961,6.982079252145802e-05,1.4999078284485614e-05,0.913099476555566,0.0006563227865776401,0.00042759962135774507,9.243182020923148e-06,2.39186791418841e-05,0.02353918716568772,0.0008401153702459172,0.0004508622837855822,1.0131762215623973e-05,2.0253162526250464e-05,0.03515440258132202,0.004249176175289962,6.184751503092412e-05,2.801521871179464e-05,5.139475354936939e-06,0.002241053305334927,0.00013304321044962564,9.394774646362967e-06,8.127133360189413e-07,5.223014437653935e-07,0.0004703126102962209,0.0001679694806422627,3.505453663641886e-05,8.591819473269958e-08,2.2486060532798205e-06,-0.06810137185741261,-0.09357713205625526,0.015285540360543057,-0.008352895813206643,0.00387147949411705,0.6754430330564121,0.025609636764564195,-0.020671087882001796,0.0030391730546404094,-0.004888923862832288,0.10844896474617148,0.028974379396682976,-0.02122592525946699,0.0031819047264274817,-0.00449874214422348,-0.1325316303407756,0.06516239622002072,0.007861506987790435,0.005291047812322597,0.002266230453630485,-0.03346229880011385,0.011530311374110362,0.0030639936501261397,-0.0009011837884190634,0.000722445833167897,-0.015329323566909197,-0.012955669693174122,0.005918570059055287,-0.0002930132429266217,0.0014989990758734893,-0.06810137185741305,-0.09357713205625529,0.015285540360543052,-0.008352895813206687,0.0038714794941168904,0.675443033056412,0.02560963676456411,-0.02067108788200162,0.003039173054640394,-0.004888923862832261,0.10844896474617147,0.028974379396682962,-0.021225925259467166,0.0031819047264274557,-0.004498742144223517,-0.13253163034077564,0.06516239622002058,0.007861506987790463,0.005291047812322673,0.002266230453630495,-0.03346229880011387,0.011530311374110458,0.003063993650126124,-0.000901183788419028,0.0007224458331678459,-0.015329323566909268,-0.01295566969317406,0.005918570059055299,-0.00029301324292661454,0.0014989990758734906,fourier,7,0.2498212421637952
500,0.2503356545450483,0.25033565454504825,0.9999999999999998,1.0,-0.01575987403965051,0.08171558593769185,-0.02511286813012428,-0.01957868475938834,-0.0011111959833294601,-0.0015201959174447725,0.0,0.0,0.013336967515226015,0.013336967515226015,0.9841346263198278,0,1,1.665634277029283e-16,0.0004960812118374349,0.9431775553084606,0.021300188531688784,4.761236242253097e-05,6.374980984619677e-05,0.013336967515226015,0.0013996184814343401,0.006156997857688855,0.00239654598842475,6.129475521663666e-05,0.0012596211012513283,0.008722344024669978,0.00019883529818685795,0.00020154214674806604,8.758190161009587e-06,0.0007656218559920022,5.132408021287833e-05,0.0001312055980094164,0.00013366779104804032,3.8616874856433775e-06,2.466201859282752e-06,3.8034857280677445e-05,1.8063495986171418e-05,1.8837613640028245e-05,3.8068638209821105e-06,4.615794005883181e-06,4.421917729663618e-07,1.2140547215283292e-08,1.0911935769728284e-07,2.1812571754193553e-07,-0.01575987403965051,0.9718250267622088,-0.1460437829969252,-0.006904801781798042,0.007989705970802688,0.08171558593769185,-0.037436581503294986,0.07851919736566337,0.04898738240239499,-0.007834350685879527,-0.02511286813012428,-0.09345616513816196,0.014110359955474834,0.014206081123883715,-0.002961409979443128,-0.01957868475938834,0.0071688903503996934,-0.011462188143223221,-0.011569237479385049,0.0019664364361625898,-0.0011111959833294601,-0.006171379389694295,-0.004252969358492993,0.004343144639840217,-0.0019524279719256433,-0.0015201959174447725,0.0006654212708351592,-0.0001102580941912748,-0.0003305538735678924,0.00046735273305702945,-0.015759874039650568,0.9718250267622084,-0.1460437829969251,-0.006904801781797835,0.00798970597080257,0.08171558593769196,-0.03743658150329504,0.07851919736566335,0.048987382402394926,-0.007834350685879512,-0.0251128681301242,-0.09345616513816202,0.01411035995547483,0.014206081123883696,-0.002961409979443176,-0.019578684759388367,0.007168890350399797,-0.011462188143223133,-0.011569237479384993,0.001966436436162648,-0.0011111959833294176,-0.0061713793896943075,-0.004252969358492892,0.00434314463984021,-0.0019524279719255987,-0.00152019591744478,0.0006654212708351113,-0.00011025809419131383,-0.0003305538735678716,0.0004673527330569969,fourier,8,0.2503356545450483
500,0.26711808131215226,0.26711808131215226,1.0,1.0,-0.034864314425818506,0.02454095137224479,-0.01606358896995048,0.009969068430269745,-0.0023793217805028197,0.0010861262626097386,0.0,0.0,0.0011273259587977662,0.0011273259587977662,0.995915587663937,0,1,1.529292440908424e-16,0.002275249235116151,0.9589054718252356,0.000410159844098344,0.00042684322573596545,2.483570554875949e-05,0.0011273259587977662,0.019741723030899015,0.0014124803442462943,0.004574205022812005,4.069523405891727e-06,0.00048300528614154796,0.009971983085077983,8.929870838449446e-06,6.0915027572209675e-05,3.336427154661854e-05,0.00018602695272294838,9.1064413227871e-05,1.9488046772194852e-05,0.000195487736617184,7.76165961389634e-06,1.0596759506818079e-05,1.7544706797356245e-05,4.204928567027901e-06,4.27631135706166e-06,5.155938605635187e-07,2.208143777717624e-06,2.6889832977237658e-08,8.028827671255154e-09,1.1303534211538172e-08,2.1726791195338768e-07,-0.034864314425818506,1.0122074684444509,-0.02093428867545694,-0.021355799538268848,-0.005151336142873306,0.02454095137224479,-0.14523596218305812,-0.03884837394003504,0.0699100241516752,0.0020852273583824793,-0.01606358896995048,-0.1032220323102247,0.0030889026949594616,0.008067590789861741,-0.005970661671845217,0.009969068430269745,0.009864066369859011,0.004563161036961186,-0.014452447422528485,-0.0028797775079766217,-0.0023793217805028197,-0.004329669002080448,0.0021196343560898902,0.0021375500787506026,0.0007422248790496112,0.0010861262626097386,-0.00016950233734888687,-9.262062497590031e-05,-0.00010989774102559795,0.000481814021264166,-0.03486431442581844,1.0122074684444506,-0.02093428867545702,-0.021355799538268667,-0.005151336142873327,0.024540951372244824,-0.14523596218305818,-0.03884837394003503,0.06991002415167528,0.0020852273583825374,-0.016063588969950478,-0.10322203231022464,0.003088902694959651,0.008067590789861738,-0.005970661671845345,0.009969068430269757,0.009864066369859028,0.00456316103696139,-0.014452447422528433,-0.0028797775079766157,-0.0023793217805028097,-0.004329669002080386,0.0021196343560899427,0.0021375500787505805,0.000742224879049666,0.001086126262609826,-0.00016950233734895105,-9.262062497593544e-05,-0.00010989774102553463,0.0004818140212641559,fourier,9,0.26711808131215226
